stock
888.L
AML.L
ASHM.L
ATG.L
BHMG.L
BOY.L
BRW.L
CHG.L
CLG.L
CMCX.L
CSP.L
CTEC.L
DEC.L
DOCS.L
DRX.L
EMG.L
ERM.L
FEML.L
GCP.L
HAS.L
HTWS.L
IBST.L
IMI.L
INDV.L
INPP.L
JAM.L
JDW.L
LIO.L
LRE.L
MDC.L
MKS.L
MTO.L
MYI.L
NEX.L
OXIG.L
PAG.L
PAGE.L
PLUS.L
PZC.L
QQ.L
RAT.L
RDW.L
RHIM.L
RICA.L
RSW.L
SDP.L
SRP.L
SXS.L
SYNT.L
TBCG.L
TEM.L
TEP.L
TMPL.L
UKCM.L
ULE.L
VCT.L
VSVS.L
VVO.L
WG.L
WIZZ.L
