Date,Open,High,Low,Close,Adj Close,Volume,macd,signal,macd_diff,crossover,crossunder,lowest_MACD,MACD_ratio,lowest_Low,MACD_up,state,screen_passed,marker
2021-04-29,41.209999084472656,42.104000091552734,39.68299865722656,39.84000015258789,39.366943359375,21097057,0.0,0.0,0.0,False,False,,0.0,,False,"|0,0,0,0|",False,
2021-04-30,39.95000076293945,40.619998931884766,39.36000061035156,39.84000015258789,39.366943359375,21330347,0.0,0.0,0.0,False,False,,0.0,,False,"|0,0,0,0|",False,
2021-05-04,39.95000076293945,41.290000915527344,39.0099983215332,39.439998626708984,38.9716911315918,12413950,-0.012404023382714513,-0.005083616140456767,-0.007320407242257746,False,True,,,,False,"|0,0,0,0|",False,
2021-05-05,39.75,40.52000045776367,37.869998931884766,38.529998779296875,38.07249450683594,12993451,-0.05059682315020808,-0.020501369192540544,-0.030095453957667537,False,False,,,,False,"|0,0,0,0|",False,
2021-05-06,38.880001068115234,39.47999954223633,38.237998962402344,38.869998931884766,38.40846252441406,9351389,-0.056755640225034654,-0.03128619517793265,-0.025469445047102003,False,False,,,,True,"|0,0,0,0|",False,
2021-05-07,38.4900016784668,39.25,37.93000030517578,38.959999084472656,38.49739456176758,11823971,-0.05554264794854902,-0.03786104251145474,-0.01768160543709428,False,False,,,,True,"|0,0,0,0|",False,
2021-05-10,39.099998474121094,39.11000061035156,37.86399841308594,38.38999938964844,37.93416213989258,14152337,-0.07962998810684496,-0.04843164834757615,-0.031198339759268813,False,False,,,,False,"|0,0,0,0|",False,
2021-05-11,38.20000076293945,38.63999938964844,37.18000030517578,37.54999923706055,37.10413360595703,16190449,-0.13445119120971327,-0.06910376209520976,-0.06534742911450352,False,False,,,,False,"|0,0,0,0|",False,
2021-05-12,38.38999938964844,38.38999938964844,35.83000183105469,36.20000076293945,35.770164489746094,19974581,-0.2373464496268909,-0.10796865757130494,-0.12937779205558594,False,False,,,,False,"|0,0,0,0|",False,
2021-05-13,36.43000030517578,36.43000030517578,33.85900115966797,34.84000015258789,34.42631530761719,18722785,-0.3769372031877154,-0.16823322539202637,-0.20870397779568903,False,False,,,,False,"|0,0,0,0|",False,
2021-05-14,34.63999938964844,36.099998474121094,34.36000061035156,35.95000076293945,35.52313232421875,8884652,-0.4133855453146964,-0.22187115220642176,-0.19151439310827464,False,False,,,,True,"|0,0,0,0|",False,
2021-05-17,35.90999984741211,36.689998626708984,35.560001373291016,35.7599983215332,35.33538818359375,9671064,-0.44492063146493877,-0.26977282601717895,-0.17514780544775982,False,False,,,,True,"|0,0,0,0|",False,
