Date,Open,High,Low,Close,Adj Close,Volume,macd,signal,macd_diff,lowestMACD100,condition1
2021-04-26,741.0,749.2999877929688,732.6099853515625,738.2000122070312,738.2000122070312,31038500,0.0,0.0,0.0,,False
2021-04-27,717.9600219726562,724.0,703.3499755859375,704.739990234375,704.739990234375,29437000,-0.750705621181396,-0.41705867843410893,-0.3336469427472871,,False
2021-04-28,696.4099731445312,708.5,693.5999755859375,694.4000244140625,694.4000244140625,22271000,-1.2771896879472706,-0.7695713872509784,-0.5076183006962922,,False
2021-04-29,699.510009765625,702.25,668.5,677.0,677.0,28845400,-2.1135655400215683,-1.2248539593277363,-0.8887115806938319,,False
2021-04-30,667.5900268554688,715.469970703125,666.1400146484375,709.4400024414062,709.4400024414062,40758700,-1.232681437664155,-1.2271824571669852,-0.005498980497169903,,False
2021-05-03,703.7999877929688,706.0,680.5,684.9000244140625,684.9000244140625,27043100,-1.7293241461850357,-1.3632907734287085,-0.3660333727563272,,False
2021-05-04,678.9400024414062,683.4500122070312,657.7000122070312,673.5999755859375,673.5999755859375,29739300,-2.5299502009061143,-1.6585411508818508,-0.8714090500242635,,False
2021-05-05,681.0599975585938,685.2999877929688,667.3400268554688,670.9400024414062,670.9400024414062,21901900,-3.15262412551283,-2.0175973859222407,-1.135026739590589,,False
2021-05-06,680.760009765625,681.02001953125,650.0,663.5399780273438,663.5399780273438,27784600,-3.902987736203386,-2.4531319103069453,-1.4498558258964405,,False
2021-05-07,665.7999877929688,690.0,660.219970703125,672.3699951171875,672.3699951171875,23469200,-3.9236631199158865,-2.7826162654789153,-1.1410468544369712,,False
2021-05-10,664.9000244140625,665.0499877929688,627.6099853515625,629.0399780273438,629.0399780273438,31392400,-6.192008751127332,-3.5285718602880696,-2.6634368908392627,,False
2021-05-11,599.239990234375,627.0999755859375,595.5999755859375,617.2000122070312,617.2000122070312,46503900,-8.421185753272198,-4.579300136197081,-3.8418856170751168,,False
2021-05-12,602.489990234375,620.4099731445312,586.77001953125,589.8900146484375,589.8900146484375,33823600,-11.505385092276356,-6.045100346155209,-5.460284746121147,,False
2021-05-13,601.5399780273438,606.4600219726562,559.6500244140625,571.6900024414062,571.6900024414062,44184900,-14.719321469256101,-7.859753877080888,-6.859567592175213,,False
2021-05-14,583.4099731445312,592.8699951171875,570.4600219726562,589.739990234375,589.739990234375,33370900,-15.884192316496637,-9.52316773715459,-6.361024579342047,,False
2021-05-17,575.5499877929688,589.72998046875,561.2000122070312,576.8300170898438,576.8300170898438,32390400,-17.35142771725259,-11.134165282839447,-6.2172624344131435,,False
2021-05-18,568.0,596.25,563.3800048828125,577.8699951171875,577.8699951171875,36830600,-18.19071086271026,-12.577986359119228,-5.612724503591034,,False
2021-05-19,552.5499877929688,566.2100219726562,546.97998046875,563.4600219726562,563.4600219726562,39578400,-19.5186997784258,-13.991594340493197,-5.527105437932601,,False
2021-05-20,575.0,588.8499755859375,571.0700073242188,586.780029296875,586.780029296875,30821100,-18.805911042946946,-14.968536907157358,-3.837374135789588,,False
2021-05-21,596.1099853515625,596.6799926757812,580.0,580.8800048828125,580.8800048828125,26030600,-18.414184632714182,-15.665704244423152,-2.7484803882910303,,False
2021-05-24,581.5999755859375,614.47998046875,573.6500244140625,606.4400024414062,606.4400024414062,34558100,-16.19979322471829,-15.773516432402015,-0.42627679231627624,,False
