Date,Open,High,Low,Close,Adj Close,Volume,macd,signal,macd_diff,crossover,crossunder,lowest_MACD,MACD_ratio,lowest_Low,MACD_up,state,screen_passed,marker
2021-04-28,318.0,318.0,303.5,306.0,304.36669921875,604927,0.0,0.0,0.0,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-04-29,311.0,311.0,297.0,298.0,296.4093933105469,314745,-0.1794871794871824,-0.09971509971510133,-0.07977207977208108,False,True,,,,False,"(0, 0, 0, 0)",False,
2021-04-30,305.0,305.0,295.5,298.0,296.4093933105469,527046,-0.22870229250912644,-0.15257870331920997,-0.07612358918991646,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-04,299.0,303.0,289.0,289.0,287.4574279785156,458465,-0.5704229502394469,-0.2941248574249813,-0.2762980928144656,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-05,283.0,291.5,282.0,285.5,283.9761047363281,494470,-0.8833730603456047,-0.46941287590446223,-0.41396018444114246,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-06,292.5,292.5,286.5,290.0,288.45208740234375,228416,-0.8624714059998269,-0.5759535911918258,-0.2865178148080011,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-07,296.0,296.25,288.0,293.0,291.43609619140625,251862,-0.698306146310756,-0.6069177588232746,-0.09138838748748146,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-10,295.0,298.5,290.0,295.0,293.4254150390625,337045,-0.4818808479215022,-0.576869037813948,0.09498818989244584,True,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-11,289.0,295.0,287.0,295.0,293.4254150390625,334846,-0.3246783757053322,-0.5186117437425316,0.1939333680371994,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-12,299.0,299.5,290.5,293.5,291.93341064453125,592505,-0.28570347385903005,-0.4664267709821154,0.18072329712308532,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-05-13,291.0,293.0,283.0360107421875,285.0,283.4787902832031,396694,-0.706375192454459,-0.5189261145503223,-0.18744907790413667,False,True,,,,False,"(0, 0, 0, 0)",False,
2021-05-14,280.0,289.5,280.0,285.0,283.4787902832031,276434,-1.0051805236690825,-0.6233531689065136,-0.3818273547625689,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-17,280.0,290.17999267578125,280.0,285.0,283.4787902832031,114089,-1.2134485184103596,-0.7482378465682918,-0.46521067184206777,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-18,287.5,288.5,282.5,284.5,282.9814453125,134345,-1.3825578091550028,-0.8809380560175445,-0.5016197531374583,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-19,281.5,285.0,279.5,284.5,282.9814453125,286531,-1.492451491161546,-1.0077008109840933,-0.4847506801774528,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-20,278.0,285.5,278.0,281.0,279.5001220703125,132852,-1.7693534913959752,-1.1644432546340642,-0.604910236761911,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-21,274.5,284.5,274.5,281.0,279.5001220703125,237211,-1.9585723339299648,-1.3269278994218427,-0.631644434508122,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-24,287.5,294.5,284.0,290.0,288.45208740234375,202072,-1.5119907555583154,-1.364619461468287,-0.14737129409002847,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-25,295.0,297.0,291.0,294.5,292.9280700683594,407886,-0.8617282627570262,-1.2625705418009554,0.4008422790439292,True,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-26,288.5,301.0,288.5,297.5,295.9120788574219,238077,-0.15458849337505853,-1.0383895006834811,0.8838010073084226,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-27,299.0,303.5,297.0,302.0,300.3880310058594,640834,0.6913365223014125,-0.6892238110283078,1.3805603333297203,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-28,296.0,310.0,296.0,306.0,304.36669921875,231531,1.6063282821717735,-0.22670057327026522,1.8330288554420386,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-01,313.0,316.0,305.5,310.0,308.3453369140625,413723,2.56865626368176,0.33569056544983306,2.2329656982319266,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-02,314.0,317.5,309.5920104980469,315.0,313.31866455078125,217614,3.6294912314148178,0.9975763659626592,2.6319148654521585,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-03,322.5,328.5,317.5,325.0,323.2652893066406,706414,5.1068141651410315,1.822540552377127,3.2842736127639043,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-04,324.0,330.0,324.0,324.0,322.2706298828125,289028,6.126770934845183,2.6859962636293044,3.4407746712158787,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-07,324.0,328.5,321.5,325.0,323.2652893066406,352603,6.920750769713834,3.5349999297520567,3.3857508399617773,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-08,330.0,330.0,320.4930114746094,327.0,325.2546081542969,264100,7.602185799044491,4.35001356926197,3.2521722297825217,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-09,326.5,330.5,323.0,323.0,321.2759704589844,257700,7.757109133460801,5.032488761309304,2.724620372151497,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-10,323.0,323.0,315.5,318.0,316.3026428222656,951085,7.424869927615646,5.511558053629127,1.913311873986519,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-11,318.0,320.0,317.5,319.5,317.7946472167969,254246,7.189061909837733,5.847391418125598,1.3416704917121347,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-14,319.5,322.5,318.5,318.5,316.79998779296875,152197,6.848040173278264,6.047679854003605,0.8003603192746587,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-15,314.0,324.0,314.0,321.0,319.28662109375,334865,6.687510582636207,6.175727159351867,0.5117834232843403,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-16,324.0,324.0,309.0,315.5,313.81597900390625,444817,6.075299367882735,6.155631411303211,-0.08033204342047551,False,True,,,,False,"(0, 0, 0, 0)",False,
2021-06-17,308.0,317.5,308.0,315.0,313.31866455078125,360123,5.489078849364603,6.0222667998019475,-0.5331879504373447,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-06-18,308.0,316.0,300.0,302.5,300.8853759765625,4123685,4.027320199552889,5.6231479582829484,-1.595827758730059,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-06-21,297.5,311.5,297.5,311.0,309.3399963378906,318584,3.479370798295804,5.194281186105825,-1.7149103878100211,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-06-22,309.0,318.5,308.5,318.0,316.3026428222656,236986,3.541480229069748,4.863652325770896,-1.3221720967011477,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-06-23,318.0,320.0,308.0,310.5,308.8426818847656,317992,2.9784706105918417,4.486553326416694,-1.5080827158248526,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-06-24,309.0,311.0,304.5,308.0,306.35601806640625,289917,2.3126310113657382,4.0517110629554685,-1.7390800515897302,False,False,-1.7390800515897302,1.0,274.5,False,"(1, 0, 0, 0)",False,
2021-06-25,302.0,307.0,302.0,306.5,304.864013671875,127625,1.6499281899760945,3.571303402654677,-1.9213752126785826,False,False,-1.9213752126785826,1.0,274.5,False,"(1, 0, 0, 0)",False,
2021-06-28,309.0,315.5,302.8900146484375,306.0,304.36669921875,142021,1.0737674431325104,3.071753713762611,-1.9979862706301006,False,False,-1.9979862706301006,1.0,274.5,False,"(1, 0, 0, 0)",False,
2021-06-29,313.0,313.0,305.0,311.5,309.83734130859375,456366,1.0343036413506184,2.6642359650593943,-1.629932323708776,False,False,-1.9979862706301006,0.8157875495284298,274.5,True,"(1, 0, 0, 0)",False,
2021-06-30,300.0,309.0,300.0,307.0,305.3613586425781,442022,0.6438092852545765,2.260128627402215,-1.6163193421476385,False,False,-1.9979862706301006,0.8089741986254507,274.5,True,"(1, 0, 0, 0)",False,
2021-07-01,308.5,317.5,306.0,317.5,315.8053283691406,442447,1.1439953984041153,2.036892258287387,-0.8928968598832716,False,False,-1.9979862706301006,0.4468983961544844,274.5,True,"(1, 0, 0, 0)",False,
2021-07-02,310.0,322.5,310.0,320.5,318.789306640625,332588,1.755479104225003,1.98060766624312,-0.22512856201811693,False,False,-1.9979862706301006,0.11267773223842956,274.5,True,"(1, 0, 0, 0)",False,
2021-07-05,320.5,327.0,319.5,327.0,325.2546081542969,559221,2.7198787502168216,2.1284660047267754,0.5914127454900462,True,False,-1.9979862706301006,0.0,274.5,True,"(1, 0, 0, 0)",False,
2021-07-06,319.5,325.5,312.0,315.0,313.31866455078125,810524,2.5088408624723115,2.204542672842274,0.30429818963003763,False,False,-1.9979862706301006,0.0,274.5,False,"(1, 0, 0, 0)",False,
2021-07-07,307.5,316.0,307.5,314.5,312.8213195800781,231452,2.2758337314500636,2.2188011389433675,0.05703259250669612,False,False,-1.9979862706301006,0.0,274.5,False,"(1, 0, 0, 0)",False,
2021-07-08,307.5,314.28900146484375,290.76300048828125,301.0,299.39337158203125,522885,1.0116930280543102,1.9773760710318444,-0.9656830429775343,False,True,-1.9979862706301006,0.4833281675519166,274.5,False,"(0, 1, 0, 0)",False,
2021-07-09,299.5,300.5,289.0,299.0,297.404052734375,487701,-0.14661863225137495,1.5525722799733557,-1.6991909122247306,False,False,-1.9979862706301006,0.8504517459416078,274.5,False,"(0, 1, 0, 0)",False,
2021-07-12,299.0,299.0,287.76300048828125,295.0,293.4254150390625,276279,-1.3658801593359726,0.9688764604090151,-2.334756619744988,False,False,-2.334756619744988,1.0,274.5,False,"(1, 0, 0, 0)",False,
2021-07-13,294.5,297.5,290.0,297.0,295.41473388671875,176736,-2.1482627696511827,0.345444058659596,-2.4937068283107786,False,False,-2.4937068283107786,1.0,274.5,False,"(1, 0, 0, 0)",False,
2021-07-14,294.0,300.5,294.0,299.5,297.9013977050781,198774,-2.5400349332747396,-0.23165511345281084,-2.308379819821929,False,False,-2.4937068283107786,0.9256821185293906,274.5,True,"(1, 0, 0, 0)",False,
2021-07-15,298.0,305.0,293.5,302.0,300.3880310058594,348297,-2.6211639693539155,-0.709559119696992,-1.9116048496569236,False,False,-2.4937068283107786,0.7665716065556242,274.5,True,"(1, 0, 0, 0)",False,
2021-07-16,305.5,305.5,292.0,295.5,293.9227294921875,333627,-3.166831688272964,-1.2010154721687016,-1.9658162161042625,False,False,-2.4937068283107786,0.7883108767183727,274.5,False,"(1, 0, 0, 0)",False,
2021-07-19,290.0,293.0,287.0,287.0,285.4681091308594,452149,-4.228346151331948,-1.806483420260981,-2.4218627310709673,False,False,-2.4937068283107786,0.9711898381862001,284.0,False,"(1, 0, 0, 0)",False,
2021-07-20,284.0,293.5,279.92999267578125,291.0,289.4467468261719,448466,-4.695943667930976,-2.3843768535748384,-2.3115668143561376,False,False,-2.4937068283107786,0.9269601334500008,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-07-21,285.0,300.0,285.0,298.5,296.90673828125,306560,-4.416280397697733,-2.790758340871689,-1.625522056826044,False,False,-2.4937068283107786,0.6518497035704724,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-07-22,301.5,301.5,291.5,291.5,289.944091796875,194230,-4.700078204174815,-3.172622898738046,-1.5274553054367694,False,False,-2.4937068283107786,0.6125240096773757,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-07-23,295.0,299.5,294.8710021972656,295.0,293.4254150390625,204381,-4.591934912792965,-3.4564856495637497,-1.1354492632292152,False,False,-2.4937068283107786,0.45532588287387477,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-07-26,292.5,299.5,291.5,299.5,297.9013977050781,261926,-4.098670888892229,-3.584922823400259,-0.5137480654919706,False,False,-2.4937068283107786,0.2060178284229106,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-07-27,295.5,298.0,293.0,294.5,292.9280700683594,177642,-4.061441287673404,-3.6802265910338186,-0.38121469663958507,False,False,-2.4937068283107786,0.15287069526846406,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-07-28,293.5,297.5,293.0,297.0,295.41473388671875,142080,-3.7878562942767076,-3.7017525451944566,-0.08610374908225094,False,False,-2.4937068283107786,0.03452841693527265,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-07-29,292.0,308.0,292.0,308.0,306.35601806640625,270120,-2.658306079937006,-3.4930631473458003,0.8347570674087943,True,False,-2.4937068283107786,0.0,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-07-30,305.5,310.5,302.0,310.0,308.3453369140625,410132,-1.5844575763193802,-3.1113418797899097,1.5268843034705295,False,False,-2.4937068283107786,0.0,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-08-02,309.5,317.0,303.0,307.5,305.85870361328125,150683,-0.9234750584963649,-2.6737683749004986,1.7502933164041337,False,False,-2.4937068283107786,0.0,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-08-03,303.5,314.5,298.0,313.0,311.329345703125,195576,0.04145697397683534,-2.1307231655026304,2.1721801394794658,False,False,-2.4937068283107786,0.0,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-08-04,313.0,316.0,309.5,315.0,313.31866455078125,171765,0.9557496557911236,-1.5134284742737263,2.46917813006485,False,False,-2.4937068283107786,0.0,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-08-05,314.5,320.2250061035156,310.0,317.5,315.8053283691406,216741,1.8597179173579548,-0.8387990849368168,2.6985170022947713,False,False,-2.4937068283107786,0.0,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-08-06,315.5,320.0,313.0,315.5,313.81597900390625,335520,2.38779467029417,-0.19348024894061255,2.5812749192347826,False,False,-2.4937068283107786,0.0,279.92999267578125,False,"(1, 0, 0, 0)",False,
2021-08-09,308.0,313.0,301.5,310.0,308.3453369140625,386757,2.337135053643749,0.3126428648772447,2.024492188766504,False,False,-2.4937068283107786,0.0,279.92999267578125,False,"(1, 0, 0, 0)",False,
2021-08-10,305.0,311.5,298.0,309.5,307.8480224609375,451674,2.2310463063154202,0.6963235854899165,1.5347227208255037,False,False,-2.4937068283107786,0.0,279.92999267578125,False,"(1, 0, 0, 0)",False,
2021-08-11,309.0,316.0,307.0,315.0,313.31866455078125,215114,2.5598695545127725,1.0690328044150392,1.4908367500977333,False,False,-2.4937068283107786,0.0,279.92999267578125,False,"(1, 0, 0, 0)",False,
2021-08-12,315.5,321.0,308.5,321.0,319.28662109375,288935,3.2655465813181195,1.508335583482814,1.7572109978353054,False,False,-2.4937068283107786,0.0,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-08-13,318.5,329.0,318.5,323.5,321.7732849121094,201528,3.9800734788682917,2.0026831838840455,1.9773902949842461,False,False,-2.4937068283107786,0.0,279.92999267578125,True,"(1, 0, 0, 0)",False,
2021-08-16,322.0,323.4599914550781,314.5,317.0,315.3079833984375,239702,3.977261928940436,2.397598946523366,1.5796629824170703,False,False,-2.4937068283107786,0.0,279.92999267578125,False,"(1, 0, 0, 0)",False,
2021-08-17,324.0,324.0,309.5,312.0,310.33465576171875,346730,3.5317729938450384,2.6244337622499256,0.9073392315951128,False,False,-2.4937068283107786,0.0,279.92999267578125,False,"(1, 0, 0, 0)",False,
