Date,Open,High,Low,Close,Adj Close,Volume,macd,signal,macd_diff,crossover,crossunder,lowest_MACD,MACD_ratio,lowest_Low,MACD_up,state,screen_passed,marker
2021-04-28,511.0,517.5,499.79998779296875,513.5,513.5,372785,0.0,0.0,0.0,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-04-29,499.0,518.5,499.0,512.0,512.0,305571,-0.03365384615381117,-0.018696581196561764,-0.01495726495724941,False,True,,,,False,"(0, 0, 0, 0)",False,
2021-04-30,501.0,519.0,501.0,515.5,515.5,504739,0.06565311072586155,0.015872964673283852,0.0497801460525777,True,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-04,528.5,554.0,517.0,545.0,545.0,822468,1.174297134468702,0.40829307639259893,0.7660040580761032,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-05,534.5,547.0,528.5,536.5,536.5,445638,1.4137612415595413,0.7073971236221749,0.7063641179373664,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-05-06,527.0,549.0,527.0,543.0,543.0,412397,1.8090814396922497,1.0060148257402235,0.8030666139520262,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-07,550.0,584.0,544.0,579.0,579.0,614626,3.6623040005154053,1.678250752528941,1.9840532479864643,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-10,576.5,594.4550170898438,574.5,577.0,577.0,282953,4.750942021367905,2.4166762464030613,2.3342657749648437,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-11,574.5,575.5,562.0,566.0,566.0,280482,4.886765730229172,2.9872791713440123,1.8994865588851595,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-05-12,566.0,577.5,566.0,570.5,570.5,381974,5.143810578803482,3.4704673930913352,1.6733431857121466,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-05-13,561.5,586.5,561.0460205078125,580.5,580.5,289022,5.790173261865675,3.9780057825281125,1.8121674793375626,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
