Date,Open,High,Low,Close,Adj Close,Volume,macd,signal,macd_diff,crossover,crossunder,lowest_MACD,MACD_ratio,lowest_Low,MACD_up,state,marker
2021-04-27,1398.0,1398.0,1365.0,1365.0,1365.0,225459,0.0,0.0,0.0,False,False,,0.0,,False,"(0, 0, 0, 0)",
2021-04-28,1400.0,1400.0,1351.0,1351.0,1351.0,215146,-0.3141025641025408,-0.17450142450141154,-0.13960113960112924,False,True,,,,False,"(0, 0, 0, 0)",
2021-04-29,1358.0,1640.1500244140625,1322.0,1342.0,1342.0,278649,-0.6793184733603539,-0.3813936576403223,-0.2979248157200316,False,False,,,,False,"(0, 0, 0, 0)",
2021-04-30,1300.0,1351.0,1300.0,1336.0,1336.0,317866,-1.0454051720871576,-0.6063298075206864,-0.4390753645664711,False,False,,,,False,"(0, 0, 0, 0)",
2021-05-04,1340.0,1350.0,1321.0,1339.0,1339.0,360324,-1.1029458937828167,-0.7540618655472602,-0.34888402823555653,False,False,,,,True,"(0, 0, 0, 0)",
2021-05-05,1353.0,1366.0,1324.5699462890625,1335.0,1335.0,167440,-1.2878462969908924,-0.8987471243087616,-0.3890991726821308,False,False,,,,False,"(0, 0, 0, 0)",
2021-05-06,1328.0,1348.0,1321.0,1334.0,1334.0,158687,-1.4295437078026225,-1.0330775792267508,-0.3964661285758717,False,False,,,,False,"(0, 0, 0, 0)",
2021-05-07,1400.0,1400.0,1331.0,1367.0,1367.0,288614,0.06790267413907713,-0.7684913204046889,0.8363939945437661,True,False,,0.0,,True,"(0, 0, 0, 0)",
2021-05-10,1382.0,1391.0,1355.0,1391.0,1391.0,150952,2.2945503287987776,-0.06091350361070732,2.3554638324094848,False,False,,0.0,,True,"(0, 0, 0, 0)",
2021-05-11,1375.0,1377.0,1337.0,1342.0,1342.0,175727,1.3167334735287568,0.2477593915658043,1.0689740819629525,False,False,,0.0,,False,"(0, 0, 0, 0)",
2021-05-12,1355.0,1374.0,1343.0,1353.0,1353.0,174423,1.177712677959562,0.4512278569351268,0.7264848210244351,False,False,,0.0,,False,"(0, 0, 0, 0)",
2021-05-13,1365.0,1365.0,1301.0,1327.0,1327.0,240511,-0.3684379309704582,0.27519802114885306,-0.6436359521193112,False,True,,,,False,"(0, 0, 0, 0)",
2021-05-14,1339.0,1353.0,1305.0,1352.0,1352.0,264749,-0.09801337353633244,0.19621352353478003,-0.2942268970711125,False,False,,,,True,"(0, 0, 0, 0)",
2021-05-17,1311.0,1396.0,1302.157958984375,1308.0,1308.0,173324,-2.4443955255198944,-0.3562038597274513,-2.088191665792443,False,False,,,,False,"(0, 0, 0, 0)",
2021-05-18,1321.0,1340.0,1299.4000244140625,1336.0,1336.0,198555,-2.5211668020060642,-0.8049865866336834,-1.7161802153723809,False,False,,,,True,"(0, 0, 0, 0)",
2021-05-19,1323.0,1350.0,1288.2099609375,1304.0,1304.0,176978,-4.488521481292764,-1.5630306078883298,-2.9254908734044345,False,False,,,,False,"(0, 0, 0, 0)",
2021-05-20,1283.0,1326.0,1267.0,1313.0,1313.0,1131424,-5.376240524655486,-2.343241375861329,-3.032999148794157,False,False,,,,False,"(0, 0, 0, 0)",
2021-05-21,1311.0,1342.0,1309.0,1337.0,1337.0,181342,-4.476893203509235,-2.7778000546055632,-1.6990931489036716,False,False,,,,True,"(0, 0, 0, 0)",
2021-05-24,1350.0,1390.0,1327.0,1386.0,1386.0,195000,-0.5879911194053875,-2.333434281874365,1.7454431624689777,True,False,,0.0,,True,"(0, 0, 0, 0)",
2021-05-25,1394.0,1421.0,1357.0,1357.0,1357.0,191976,0.5261186225804977,-1.7548531142805985,2.280971736861096,False,False,,0.0,,True,"(0, 0, 0, 0)",
2021-05-26,1402.0,1402.0,1350.10205078125,1370.0,1370.0,125880,2.2406750381178426,-0.9483084220400251,3.1889834601578677,False,False,,0.0,,True,"(0, 0, 0, 0)",
2021-05-27,1370.0,1382.0,1346.0,1354.0,1354.0,428940,2.4681839309150746,-0.2599306197913638,2.7281145507064384,False,False,,0.0,,False,"(0, 0, 0, 0)",
2021-05-28,1320.0,1364.0,1315.0,1317.0,1317.0,188248,0.10166227212994272,-0.18718261297072075,0.2888448851006635,False,False,,0.0,,False,"(0, 0, 0, 0)",
2021-06-01,1317.0,1361.0,1307.0,1351.0,1351.0,559586,0.5998320366174994,-0.02903284187477976,0.6288648784922791,False,False,,0.0,,True,"(0, 0, 0, 0)",
2021-06-02,1351.0,1361.969970703125,1326.0,1338.0,1338.0,102908,0.07660102876275232,-0.007825950376379025,0.08442697913913134,False,False,,0.0,,False,"(0, 0, 0, 0)",
2021-06-03,1338.0,1347.0,1302.0,1315.0,1315.0,164624,-1.9465854278012102,-0.39675330666878605,-1.5498321211324242,False,True,,,,False,"(0, 0, 0, 0)",
2021-06-04,1317.0,1328.0,1308.0,1327.0,1327.0,629872,-2.649601841193089,-0.848415064695669,-1.80118677649742,False,False,,,,False,"(0, 0, 0, 0)",
2021-06-07,1350.0,1350.0,1317.0,1325.0,1325.0,64147,-3.3098920155548512,-1.341664538105772,-1.9682274774490793,False,False,,,,False,"(0, 0, 0, 0)",
2021-06-08,1300.0,1336.0,1300.0,1329.0,1329.0,142059,-3.4982339399559805,-1.7736468787705297,-1.7245870611854508,False,False,,,,True,"(0, 0, 0, 0)",
2021-06-09,1337.0,1341.10498046875,1319.0,1330.0,1330.0,267123,-3.5320335349058496,-2.1257601050587778,-1.4062734298470718,False,False,,,,True,"(0, 0, 0, 0)",
2021-06-10,1329.0,1339.0,1268.0,1279.0,1279.0,282076,-7.247508912930016,-3.1511253391755885,-4.096383573754427,False,False,,,,False,"(0, 0, 0, 0)",
2021-06-11,1289.0,1300.0,1271.0,1288.0,1288.0,181125,-9.4042421915874,-4.402740341225828,-5.0015018503615725,False,False,,,,False,"(0, 0, 0, 0)",
2021-06-14,1288.0,1297.0,1237.0,1237.0,1237.0,469632,-14.757950351224281,-6.475095854580712,-8.28285449664357,False,False,,,,False,"(0, 0, 0, 0)",
2021-06-15,1232.0,1268.0,1224.0,1248.0,1248.0,434215,-17.954373818293107,-8.772116174998354,-9.182257643294752,False,False,,,,False,"(0, 0, 0, 0)",
2021-06-16,1260.0,1260.0,1222.0,1225.0,1225.0,286103,-21.968620597501513,-11.412488121605527,-10.556132475895986,False,False,,,,False,"(0, 0, 0, 0)",
2021-06-17,1223.0,1231.0,1201.405029296875,1219.0,1219.0,341625,-25.306902006272367,-14.192272990303968,-11.114629015968399,False,False,,,,False,"(0, 0, 0, 0)",
2021-06-18,1204.0,1230.0,1186.0,1190.0,1190.0,473086,-29.817955515990434,-17.31822103795265,-12.499734478037784,False,False,,,,False,"(0, 0, 0, 0)",
2021-06-21,1190.0,1212.0,1160.0,1212.0,1212.0,393953,-31.336645599657913,-20.122488373832844,-11.214157225825069,False,False,,,,True,"(0, 0, 0, 0)",
2021-06-22,1228.0,1243.0,1204.0,1232.0,1232.0,201027,-30.642743564715374,-22.226889065548573,-8.415854499166802,False,False,,,,True,"(0, 0, 0, 0)",
2021-06-23,1230.0,1263.0,1230.0,1238.0,1238.0,191752,-29.289530263175493,-23.63960508724257,-5.649925175932925,False,False,-12.499734478037784,0.4520036154255857,1160.0,True,"(0, 0, 0, 0)",
2021-06-24,1240.0,1254.22705078125,1211.0,1217.0,1217.0,230114,-29.503621513268172,-24.81253309954777,-4.691088413720401,False,False,-12.499734478037784,0.37529504502377325,1160.0,True,"(0, 0, 0, 0)",
