Date,Open,High,Low,Close,Adj Close,Volume
2021-05-06,426.5,426.8999938964844,420.1000061035156,426.70001220703125,411.3706970214844,3006965
2021-05-07,430.3999938964844,431.5,423.44000244140625,428.8999938964844,413.49163818359375,2512089
2021-05-10,430.0,430.8070068359375,426.29998779296875,429.0,413.5880432128906,2057575
2021-05-11,422.3999938964844,424.8999938964844,413.70001220703125,416.8999938964844,401.9227600097656,2455789
2021-05-12,414.8999938964844,421.79998779296875,414.3999938964844,414.6000061035156,399.70538330078125,1897328
2021-05-13,410.0,416.5,405.6000061035156,415.3999938964844,400.47662353515625,1386981
2021-05-14,419.29998779296875,425.1000061035156,418.29998779296875,421.79998779296875,406.6466979980469,3728006
2021-05-17,423.0,424.5400085449219,417.6189880371094,419.79998779296875,404.71856689453125,1757721
2021-05-18,424.0,426.1000061035156,419.70001220703125,424.29998779296875,409.0569152832031,3427192
2021-05-19,421.29998779296875,422.0,412.20001220703125,416.3999938964844,401.4407043457031,2312267
2021-05-20,419.6000061035156,422.3999938964844,415.6000061035156,420.29998779296875,405.2005920410156,1620351
2021-05-21,421.79998779296875,422.29998779296875,415.20001220703125,419.6000061035156,404.5257568359375,2158874
2021-05-24,420.0,421.95098876953125,418.0,419.8999938964844,404.8149719238281,1450079
2021-05-25,421.5,427.6000061035156,418.79998779296875,424.5,409.2497253417969,1681026
2021-05-26,422.29998779296875,426.29998779296875,422.1000061035156,424.70001220703125,409.44256591796875,4347254
2021-05-27,423.70001220703125,425.79998779296875,416.29998779296875,418.70001220703125,403.6581115722656,5078153
2021-05-28,420.6000061035156,422.20001220703125,417.1000061035156,418.3999938964844,403.3688659667969,2407816
2021-06-01,417.3999938964844,425.6000061035156,417.3999938964844,423.8999938964844,408.6712646484375,3570647
2021-06-02,422.70001220703125,432.29998779296875,422.70001220703125,432.1000061035156,416.57672119140625,3735255
2021-06-03,432.20001220703125,432.5,421.79998779296875,424.29998779296875,409.0569152832031,2769876
2021-06-04,424.3999938964844,425.8169860839844,422.3999938964844,425.29998779296875,410.02099609375,1876309
2021-06-07,425.20001220703125,429.79998779296875,424.29998779296875,426.5,411.1778869628906,3859071
2021-06-08,427.29998779296875,438.79998779296875,426.29998779296875,438.0,422.26470947265625,2224024
2021-06-09,436.1000061035156,439.5,432.6000061035156,435.6000061035156,419.9509582519531,2564863
2021-06-10,438.70001220703125,442.20001220703125,435.3999938964844,436.20001220703125,420.5294189453125,2104841
2021-06-11,437.0,446.8999938964844,436.4119873046875,445.29998779296875,429.3024597167969,3515761
2021-06-14,447.70001220703125,449.8999938964844,445.3999938964844,445.6000061035156,429.5917053222656,3071352
2021-06-15,449.3999938964844,449.3999938964844,436.5,438.79998779296875,423.0359802246094,3443143
