Date,Open,High,Low,Close,Adj Close,Volume,macd,signal,macd_diff,22EMA,impulse
2021-04-26,261.6600036621094,262.44000244140625,260.1700134277344,261.54998779296875,259.436767578125,19763300,0.0,0.0,0.0,261.54998779296875,0
2021-04-27,261.5799865722656,263.19000244140625,260.1199951171875,261.9700012207031,259.8534240722656,31014200,0.00942337818634087,0.005235210103522705,0.004188168082818165,261.76954026655716,green
2021-04-28,256.0799865722656,256.5400085449219,252.9499969482422,254.55999755859375,252.5032501220703,46903100,-0.21777651594544523,-0.08616303827720184,-0.13161347766824338,259.1447308429421,red
2021-04-29,255.4600067138672,256.1000061035156,249.0,252.50999450683594,250.46981811523438,40589000,-0.3897889116207125,-0.18901733141524743,-0.20077158020546507,257.2533335373797,red
2021-04-30,249.74000549316406,253.0800018310547,249.60000610351562,252.17999267578125,250.14247131347656,30945100,-0.48818336911025995,-0.27801246399943724,-0.2101709051108227,256.0462053762036,red
2021-05-03,253.39999389648438,254.35000610351562,251.1199951171875,251.86000061035156,249.82505798339844,19626600,-0.5518386056409952,-0.35223457282326137,-0.1996040328177338,255.18081433311323,blue
2021-05-04,250.97000122070312,251.2100067138672,245.75999450683594,247.7899932861328,245.78794860839844,32756100,-0.767534291336716,-0.45733585239069185,-0.31019843894602417,253.81636763361246,red
2021-05-05,249.05999755859375,249.5,245.82000732421875,246.47000122070312,244.4786376953125,21901300,-0.9626025087834762,-0.5787609314634574,-0.3838415773200188,252.58079079535213,red
2021-05-06,246.4499969482422,249.86000061035156,244.69000244140625,249.72999572753906,247.71224975585938,26491100,-0.9212969795306947,-0.6578884578970865,-0.2634085216336082,252.13734131168368,blue
2021-05-07,252.14999389648438,254.3000030517578,251.1699981689453,252.4600067138672,250.4202423095703,27032900,-0.7379710448438175,-0.6758316061609467,-0.06213943868287075,252.18431091056448,green
2021-05-10,250.8699951171875,251.72999572753906,247.1199951171875,247.17999267578125,245.18287658691406,29299900,-0.8764431428608646,-0.719724264109392,-0.1567188787514725,251.49617697936475,red
2021-05-11,244.5500030517578,246.60000610351562,242.57000732421875,246.22999572753906,244.2405548095703,33641600,-1.0182243561575604,-0.7838295652708442,-0.2343947908867161,250.806879792099,red
2021-05-12,242.1699981689453,244.3800048828125,238.07000732421875,239.0,237.0689697265625,36684400,-1.518275206958549,-0.9392637799268083,-0.5790114270317407,249.32650224718702,red
2021-05-13,241.8000030517578,245.60000610351562,241.4199981689453,243.02999877929688,241.06640625,29624300,-1.639287406324911,-1.0857092448679424,-0.5535781614569686,248.56624389703512,blue
2021-05-14,245.5800018310547,249.17999267578125,245.49000549316406,248.14999389648438,246.14503479003906,23901100,-1.40580425010441,-1.152062856060886,-0.2537413940435238,248.5176272306511,blue
2021-05-17,246.5500030517578,246.58999633789062,243.52000427246094,245.17999267578125,243.19903564453125,24970200,-1.3910988363523416,-1.2012546788361802,-0.18984415751616135,248.1390976354682,blue
2021-05-18,246.27000427246094,246.41000366210938,242.89999389648438,243.0800018310547,241.11599731445312,20168000,-1.4925774765611948,-1.260861463855185,-0.23171601270600983,247.58012104827841,red
2021-05-19,239.30999755859375,243.22999572753906,238.60000610351562,243.1199951171875,241.7125244140625,25739800,-1.5494489330748138,-1.3196377776385222,-0.2298111554362916,247.0986546014588,blue
2021-05-20,243.9600067138672,247.9499969482422,243.86000061035156,246.47999572753906,245.05307006835938,21800700,-1.3587688678300083,-1.3275784325747777,-0.031190435255230575,247.0332440847419,blue
2021-05-21,247.57000732421875,248.3300018310547,244.74000549316406,245.1699981689453,243.7506561279297,21863100,-1.2807974663807045,-1.3181131116151392,0.03731564523443476,246.8398740934216,blue
2021-05-24,247.7899932861328,251.16000366210938,247.50999450683594,250.77999877929688,249.3282012939453,21411500,-0.8340501311944593,-1.2203992643646597,0.3863491331702005,247.24201917882385,green
2021-05-25,251.77000427246094,252.75,250.82000732421875,251.72000122070312,250.26275634765625,17704300,-0.4151836998446754,-1.0581590298266708,0.6429753299819954,247.69225816613192,green
2021-05-26,251.42999267578125,252.94000244140625,250.75,251.49000549316406,250.03408813476562,17771600,-0.10103635105733133,-0.8655978132791472,0.7645614622218159,248.06898375972085,green
2021-05-27,251.1699981689453,251.47999572753906,249.25,249.30999755859375,247.86671447753906,24426200,-0.0057212958425907345,-0.6928065260082963,0.6870852301657056,248.19060009662482,blue
2021-05-28,251.0,252.0800018310547,249.55999755859375,249.67999267578125,248.23455810546875,18270200,0.09418312660051242,-0.5348117079398839,0.6289948345403963,248.33496303231937,blue
2021-06-01,251.22999572753906,251.2899932861328,246.9600067138672,247.39999389648438,245.96774291992188,23213300,0.010756336546847933,-0.42536732368770186,0.4361236602345498,248.24523359447937,red
2021-06-02,248.1300048828125,249.27000427246094,245.83999633789062,247.3000030517578,245.8683319091797,19406700,-0.06145814880630951,-0.35240908651808756,0.29095093771177805,248.15532975405281,red
2021-06-03,245.22000122070312,246.33999633789062,243.0,245.7100067138672,244.28756713867188,25307700,-0.23074178794715294,-0.32802846782880996,0.09728667988165701,247.92462914873633,red
2021-06-04,247.75999450683594,251.64999389648438,247.50999450683594,250.7899932861328,249.338134765625,25281100,0.00605971272020156,-0.26110727619075086,0.2671669889109524,248.1929756483644,green
2021-06-07,249.97999572753906,254.08999633789062,249.80999755859375,253.80999755859375,252.34063720703125,23079200,0.41019433646948755,-0.12668054142138185,0.5368748778908694,248.71552125577043,green
2021-06-08,255.16000366210938,256.010009765625,252.50999450683594,252.57000732421875,251.1078338623047,22455000,0.6303934041753223,0.024884350296364825,0.6055090538789575,249.0719357194487,green
2021-06-09,253.80999755859375,255.52999877929688,253.2100067138672,253.58999633789062,252.12191772460938,17937600,0.8702339523773333,0.19408832791492667,0.6761456244624066,249.4874195260015,green
2021-06-10,254.2899932861328,257.4599914550781,253.6699981689453,257.239990234375,255.7507781982422,24563600,1.3179303342946866,0.4189992834447663,0.8989310508499204,250.19680115477396,green
2021-06-11,257.989990234375,258.489990234375,256.6099853515625,257.8900146484375,256.3970642089844,18999700,1.7011563940576764,0.6755607977103699,1.0255955963473065,250.8975655913183,green
2021-06-14,257.8999938964844,259.95001220703125,256.79998779296875,259.8900146484375,258.3854675292969,19150500,2.1309398657089673,0.966754733603727,1.1641851321052403,251.7133049022393,green
2021-06-15,259.7699890136719,259.989990234375,257.67999267578125,258.3599853515625,256.8642883300781,18038900,2.3275310369135127,1.238998342367843,1.0885326945456697,252.3139936460061,blue
2021-06-16,259.3999938964844,260.5799865722656,254.4199981689453,257.3800048828125,255.88998413085938,27220000,2.38054337813972,1.4673666373212422,0.9131767408184777,252.77027116777055,blue
2021-06-17,256.07000732421875,261.75,256.010009765625,260.8999938964844,259.3896179199219,27565500,2.6616147703551007,1.7062658813597866,0.9553488889953141,253.50021617279307,green
2021-06-18,259.6300048828125,262.29998779296875,258.75,259.42999267578125,257.9281005859375,37202200,2.739108223508964,1.9128686775672128,0.8262395459417513,254.03113132801556,blue
2021-06-21,259.82000732421875,263.5199890136719,257.9200134277344,262.6300048828125,261.1095886230469,26696100,3.012772914549714,2.1328787693210445,0.8798941452286697,254.79904168019578,green
2021-06-22,262.7200012207031,265.7900085449219,262.3999938964844,265.510009765625,263.9729309082031,24694100,3.413150212308693,2.388960289176606,1.024189923132087,255.75332988675382,green
