Date,Open,High,Low,Close,Adj Close,Volume,macd_diff,macd,signal,lowest_MACD,MACD_ratio,lowest_Low,crossunder,MACD_up,state,marker
2021-04-27,5312.0,5368.0,5274.0,5354.0,5354.0,248990,0.0,0.0,0.0,,0.0,,False,False,"(0, 0, 0, 0)",
2021-04-28,5340.0,5386.0,5198.0,5212.0,5212.0,177695,-1.4159544159548305,-3.1858974358983687,-1.7699430199435382,,,,True,False,"(0, 0, 0, 0)",
2021-04-29,5300.0,5300.0,5132.0,5154.0,5154.0,199201,-2.412648709119046,-5.858042221506366,-3.4453935123873203,,,,False,False,"(0, 0, 0, 0)",
2021-04-30,5130.0,5276.0,5111.47021484375,5220.0,5220.0,227151,-0.7283776496625722,-4.546915449786866,-3.8185378001242936,,,,False,True,"(0, 0, 0, 0)",
2021-05-04,5272.0,5308.0,5062.0,5062.0,5062.0,328379,-4.360832222928589,-10.025928383032806,-5.665096160104217,,,,False,False,"(0, 0, 0, 0)",
2021-05-05,5166.0,5264.0,5064.0,5184.0,5184.0,271946,-1.6395537617252547,-7.914312642604273,-6.274758880879018,,,,False,True,"(0, 0, 0, 0)",
2021-05-06,5152.0,5294.0,4932.0,5008.0,5008.0,423308,-6.0666350668525695,-14.396888199608838,-8.330253132756269,,,,False,False,"(0, 0, 0, 0)",
2021-05-07,5050.0,5080.0,4893.0,4943.0,4943.0,418096,-10.083480746624195,-21.603558847108616,-11.52007810048442,,,,False,False,"(0, 0, 0, 0)",
2021-05-10,4969.0,5048.0,4920.0,5000.0,5000.0,187869,-9.164329052878696,-23.4373579116791,-14.273028858800405,,,,False,True,"(0, 0, 0, 0)",
2021-05-11,4942.0,4962.1728515625,4789.0,4890.0,4890.0,325239,-12.252292391112231,-30.063246657766285,-17.810954266654054,,,,False,False,"(0, 0, 0, 0)",
2021-05-12,4889.0,4941.0,4826.0,4878.0,4878.0,334033,-13.482016385524666,-35.06891352759703,-21.586897142072367,,,,False,False,"(0, 0, 0, 0)",
2021-05-13,4830.0,4830.0,4650.0,4742.0,4742.0,373948,-18.960000755317516,-45.73232268367883,-26.772321928361315,,,,False,False,"(0, 0, 0, 0)",
2021-05-14,4789.0,4974.0,4714.0,4960.0,4960.0,352798,-10.995483774734332,-40.719516680631386,-29.724032905897054,,,,False,True,"(0, 0, 0, 0)",
2021-05-17,5068.0,5116.0,4838.0,4873.0,4873.0,223410,-9.297155620884247,-41.48068995282574,-32.183534331941495,,,,False,True,"(0, 0, 0, 0)",
2021-05-18,4841.0,4965.0,4841.0,4875.0,4875.0,398504,-7.31133586459363,-41.40679134400489,-34.09545547941126,,,,False,True,"(0, 0, 0, 0)",
2021-05-19,4824.0,4842.0,4624.0,4726.0,4726.0,315088,-12.52594178331875,-49.86708001831448,-37.34113823499573,,,,False,False,"(0, 0, 0, 0)",
2021-05-20,4786.0,4918.0,4722.0,4892.0,4892.0,284057,-6.431870543945472,-45.42754754087582,-38.99567699693035,,,,False,True,"(0, 0, 0, 0)",
2021-05-21,4900.0,4910.0,4701.0,4841.0,4841.0,184119,-4.53094111593937,-44.68544791927616,-40.15450680333679,,,,False,True,"(0, 0, 0, 0)",
2021-05-24,4801.0,4882.0,4801.0,4851.0,4851.0,181336,-2.212381905263193,-42.930130649700004,-40.71774874443681,,,,False,True,"(0, 0, 0, 0)",
2021-05-25,4923.0,4925.0,4813.0,4839.0,4839.0,241312,-0.8962903212683173,-41.84138809077285,-40.945097769504535,,,,False,True,"(0, 0, 0, 0)",
2021-05-26,4782.0,4884.0,4700.0,4864.0,4864.0,298540,1.6763860434405942,-38.84472700416882,-40.52111304760941,,0.0,,False,True,"(0, 0, 0, 0)",
2021-05-27,4889.0,4889.0,4756.0,4816.0,4816.0,444214,0.9898536259602366,-39.28149232026044,-40.27134594622068,,0.0,,False,False,"(0, 0, 0, 0)",
2021-05-28,4813.0,4907.0,4765.0,4877.0,4877.0,298741,4.202572624449921,-35.010320159821276,-39.2128927842712,,0.0,,False,True,"(0, 0, 0, 0)",
2021-06-01,4920.0,4984.0,4866.0,4908.0,4908.0,175086,8.041878271705308,-29.14860675638647,-37.19048502809178,,0.0,,False,True,"(0, 0, 0, 0)",
2021-06-02,4895.0,4900.0,4800.0,4822.0,4822.0,142648,5.567047638966308,-30.225071884996396,-35.792119523962704,,0.0,,False,False,"(0, 0, 0, 0)",
2021-06-03,4800.0,4857.0,4769.0,4850.0,4850.0,187452,5.63520643088696,-28.742769000020417,-34.37797543090738,,0.0,,False,True,"(0, 0, 0, 0)",
2021-06-04,4839.0,4948.0,4800.0,4946.0,4946.0,203009,11.137786287606307,-20.44730158670336,-31.585087874309668,,0.0,,False,True,"(0, 0, 0, 0)",
2021-06-07,4980.0,5064.0,4939.0,5044.0,5044.0,208371,19.871800213988262,-6.733296727584275,-26.605096941572537,,0.0,,False,True,"(0, 0, 0, 0)",
2021-06-08,5062.0,5326.0,5002.0,5198.0,5198.0,290128,33.38829806252576,15.14645251746333,-18.24184554506243,,0.0,,False,True,"(0, 0, 0, 0)",
2021-06-09,5190.0,5200.0,5070.0,5092.0,5092.0,296546,34.06496961801089,24.35256514822595,-9.712404469784946,,0.0,,False,True,"(0, 0, 0, 0)",
2021-06-10,5072.0,5124.0,4891.0,5100.0,5100.0,400327,33.238290376493154,31.845758003621995,-1.392532372871159,,0.0,,False,False,"(0, 0, 0, 0)",
2021-06-11,5182.0,5184.0,5032.0,5070.0,5070.0,197014,29.207289067191347,35.12381750433906,5.9165284371477105,,0.0,,False,False,"(0, 0, 0, 0)",
2021-06-14,5180.0,5180.0,5054.0,5066.0,5066.0,211365,24.850064381340346,36.98403487892301,12.133970497582666,,0.0,,False,False,"(0, 0, 0, 0)",
2021-06-15,5036.0,5178.0,4895.0,4925.0,4925.0,593078,12.30132579080676,27.51257819521925,15.211252404412487,,0.0,,False,False,"(0, 0, 0, 0)",
2021-06-16,4902.0,4969.0,4795.0,4848.0,4848.0,273664,-0.9486374396815069,14.025335289721625,14.973972729403132,,,,True,False,"(0, 0, 0, 0)",
2021-06-17,4779.0,4949.0,4720.0,4949.0,4949.0,455015,-3.251651256323905,10.90907876856545,14.160730024889356,,,,False,False,"(0, 0, 0, 0)",
2021-06-18,4995.0,5070.0,4717.0,4750.0,4750.0,388979,-16.675673012382077,-6.68521457109091,9.990458441291166,,,,False,False,"(0, 0, 0, 0)",
2021-06-21,4792.0,4805.0,4660.2998046875,4752.0,4752.0,337411,-24.170484198909897,-20.224215968838507,3.9462682300713885,,,,False,False,"(0, 0, 0, 0)",
2021-06-23,4836.0,4877.0,4670.0,4725.0,4725.0,248774,-29.27025651820771,-32.64307253201332,-3.372816013805611,,,,False,False,"(0, 0, 0, 0)",
2021-06-24,4705.0,4758.0,4581.0,4755.0,4755.0,336679,-29.05837776230426,-39.69699545506137,-10.638617692757109,-29.27025651820771,0.992761294873803,4581.0,False,True,"(0, 0, 0, 0)",
2021-06-25,4767.0,4940.0,4755.0,4894.0,4894.0,480139,-18.777182388308,-34.11071974000697,-15.333537351698972,-29.27025651820771,0.6415106877053693,4581.0,False,True,"(0, 0, 0, 0)",
2021-06-28,4930.0,4930.0,4833.0,4890.0,4890.0,216926,-11.455930314574811,-29.65375482817217,-18.197824513597357,-29.27025651820771,0.391384691399906,4581.0,False,True,"(0, 0, 0, 0)",
2021-06-29,4900.0,5042.0,4879.0,5036.0,5036.0,530055,2.9015809823083245,-14.570786570659038,-17.472367552967363,-29.27025651820771,0.0,4581.0,False,True,"(0, 0, 0, 0)",
2021-06-30,5014.0,5090.0,4959.0,4960.0,4960.0,265513,7.204116707071181,-8.46709908909179,-15.67121579616297,-29.27025651820771,0.0,4581.0,False,True,"(0, 0, 0, 0)",
2021-07-01,4937.0,5158.0,4937.0,5156.0,5156.0,376480,21.809913435526212,11.591472875566978,-10.218440559959234,-29.27025651820771,0.0,4581.0,False,True,"(0, 0, 0, 0)",
2021-07-02,5080.0,5242.7451171875,5080.0,5192.0,5192.0,239805,32.14330523864383,29.96104101319088,-2.1822642254529523,-29.27025651820771,0.0,4581.0,False,True,"(0, 0, 0, 0)",
2021-07-05,5176.0,5226.0,5110.0,5172.0,5172.0,100162,35.70405384691101,42.448114120198625,6.7440602732876185,-29.27025651820771,0.0,4581.0,False,True,"(0, 0, 0, 0)",
2021-07-06,5072.0,5126.7900390625,4993.0,5052.0,5052.0,183104,28.51649704073646,42.389880310727676,13.873383269991217,-29.27025651820771,0.0,4581.0,False,False,"(0, 0, 0, 0)",
2021-07-07,5054.0,5200.0,5034.0,5150.0,5150.0,224341,28.5093961092684,49.510287355315995,21.000891246047594,-29.27025651820771,0.0,4581.0,False,False,"(0, 0, 0, 0)",
2021-07-08,5100.0,5140.0,4791.0,4829.0,4829.0,334033,6.735751405617602,29.420610546060743,22.68485914044314,-29.27025651820771,0.0,4581.0,False,False,"(0, 0, 0, 0)",
2021-07-09,4956.0,4956.0,4740.0,4835.0,4835.0,338805,-7.0925430892069485,13.819154971533862,20.91169806074081,-29.27025651820771,0.2423122969487813,4581.0,True,False,"(0, 0, 0, 0)",
2021-07-12,4910.0,4941.0,4731.0,4755.0,4755.0,309250,-20.595147133120477,-4.832294645083493,15.762852488036984,-29.27025651820771,0.7036203157396028,4581.0,False,False,"(0, 0, 0, 0)",
2021-07-13,4828.0,4828.0,4627.0,4628.0,4628.0,564743,-36.09685772751277,-29.35830210275799,6.738555624754782,-36.09685772751277,1.0,4581.0,False,False,"(1, 0, 0, 0)",
2021-07-14,4655.0,4748.0,4566.259765625,4707.0,4707.0,524977,-39.0098687824741,-42.0238516200925,-3.013982837618397,-39.0098687824741,1.0,4566.259765625,False,False,"(1, 0, 0, 0)",
