Mnemonic,ISIN,Issuer Name
BVIC,GB00B0N8QD54,BRITVIC PLC
QQ.,GB00B0WMWD03,QINETIQ GROUP PLC
ASHM,GB00B132NW22,ASHMORE GROUP PLC
SVS,GB00B135BJ46,SAVILLS PLC
PZC,GB00B19Z1432,PZ CUSSONS PLC
DNLM,GB00B1CKQ739,DUNELM GROUP PLC
MAB,GB00B1FP6H53,MITCHELLS & BUTLERS PLC
HOC,GB00B1FW5029,HOCHSCHILD MINING PLC
SAFE,GB00B1N7Z094,SAFESTORE HOLDINGS PLC
FRAS,GB00B1QH8P22,FRASERS GROUP PLC
DRX,GB00B1VNSX38,DRAX GROUP PLC
FXPO,GB00B1XH2C03,FERREXPO PLC
GNC,IE0003864109,GREENCORE GROUP PLC
GFTU,IE00B00MZ448,GRAFTON GROUP PLC
CCR,IE00B010DT83,C&C GROUP PLC
PFG,GB00B1Z4ST84,PROVIDENT FINANCIAL PLC
MONY,GB00B1ZBKY84,MONEYSUPERMARKET.COM GROUP PLC
PAG,GB00B2NGPM57,PARAGON BANKING GROUP PLC
SMWH,GB00B2PDGW16,WH SMITH PLC
BOY,GB00B3FLWH99,BODYCOTE PLC
GRG,GB00B63QSB39,GREGGS PLC
CURY,GB00B4Y7R145,CURRYS PLC
CAPC,GB00B62G9D36,CAPITAL & COUNTIES PROPERTIES PLC
INCH,GB00B61TVQ02,INCHCAPE PLC
JUP,GB00B53P2009,JUPITER FUND MANAGEMENT PLC
LMP,GB00B4WFW713,LONDONMETRIC PROPERTY PLC
WG.,GB00B5N0P849,WOOD GROUP (JOHN) PLC
COA,GB00B4YZN328,COATS GROUP PLC
WKP,GB00B67G5X01,WORKSPACE GROUP PLC
CEY,JE00B5TT1872,CENTAMIN PLC
PTEC,IM00B7S9G985,PLAYTECH PLC
VSVS,GB00B82YXW83,VESUVIUS PLC
CRST,GB00B8VZXT93,CREST NICHOLSON HOLDINGS PLC
MDC,GB00B8HX8Z88,MEDICLINIC INTERNATIONAL PLC
JUST,GB00BCRX1J15,JUST GROUP PLC
IMI,GB00BGLP8L22,IMI PLC
GEN,GB00BKRC5K31,GENUIT GROUP PLC
FEV,GB00BK1PKQ95,FIDELITY EUROPEAN TRUST PLC
SPI,GB00BNLPYF73,SPIRE HEALTHCARE GROUP PLC
INDV,GB00BRS65X63,INDIVIOR PLC
AGR,GB00BVGBWW93,ASSURA PLC
WIZZ,JE00BN574F90,WIZZ AIR HOLDINGS PLC.
CCC,GB00BV9FP302,COMPUTACENTER PLC
HSX,BMG4593F1389,HISCOX LD
SNN,JE00BVRZ8S85,SANNE GROUP PLC
ROR,GB00BVFNZH21,ROTORK PLC
DLG,GB00BY9D0Y18,DIRECT LINE INSURANCE GROUP PLC
HSV,GB00BYYTFB60,HOMESERVE PLC
IBST,GB00BYXJC278,IBSTOCK PLC
SCT,GB00BYZDVK82,SOFTCAT PLC
JMAT,GB00BZ4BQC70,JOHNSON MATTHEY PLC
VMUK,GB00BD6GN030,VIRGIN MONEY UK PLC
ASCL,GB00BYM8GJ06,ASCENTIAL PLC
CSP,GB00BYPHNG03,COUNTRYSIDE PARTNERSHIPS PLC
BEZ,GB00BYQ0JC66,BEAZLEY PLC
DOM,GB00BYN59130,DOMINO'S PIZZA GROUP PLC
TBCG,GB00BYT18307,TBC BANK GROUP PLC
CTEC,GB00BD3VFW73,CONVATEC GROUP PLC
IWG,JE00BYVQYS01,IWG PLC
CLI,GB00BF044593,CLS HOLDINGS PLC
RHIM,NL0012650360,RHI MAGNESITA N.V.
TIFS,GB00BYQB9V88,TI FLUID SYSTEMS PLC
GLO,GB00BF448H58,CONTOURGLOBAL PLC
IHP,GB00BD45SH49,INTEGRAFIN HOLDINGS PLC
GPE,GB00BF5H9P87,GREAT PORTLAND ESTATES PLC
QLT,GB00BDCXV269,QUILTER PLC
SSPG,GB00BGBN7C04,SSP GROUP PLC
RDW,GB00BG11K365,REDROW PLC
MCRO,GB00BJ1F4N75,MICRO FOCUS INTERNATIONAL PLC
EMG,JE00BJ1DLW90,MAN GROUP PLC
HMSO,GB00BK7YQK64,HAMMERSON PLC
OSB,GB00BLDRH360,OSB GROUP PLC
CNE,GB00BN0SMB92,CAPRICORN ENERGY PLC
TCAP,JE00BMDZN391,TP ICAP GROUP PLC
DARK,GB00BNYK8G86,DARKTRACE PLC
TPK,GB00BK9RKT01,TRAVIS PERKINS PLC
PNN,GB00BNNTLN49,PENNON GROUP PLC
TATE,GB00BP92CJ43,TATE & LYLE PLC
JDW,GB0001638955,WETHERSPOON(J.D.) PLC
FGP,GB0003452173,FIRSTGROUP PLC
IPO,GB00B128J450,IP GROUP PLC
RNK,GB00B1L5QH97,RANK GROUP PLC
888,GI000A0F6407,888 HOLDINGS PLC
XPP,SG9999003735,XP POWER LD
CHG,GB00B45C9X44,CHEMRING GROUP PLC
FDM,GB00BLWDVP51,FDM GROUP (HOLDINGS) PLC
TUI,DE000TUAG000,TUI AG
BIFF,GB00BD8DR117,BIFFA PLC
ENOG,GB00BG12Y042,ENERGEAN PLC
DSCV,GB0000055888,DISCOVERIE GROUP PLC
TLW,GB0001500809,TULLOW OIL PLC
ELM,GB0002418548,ELEMENTIS PLC
MTO,GB0004657408,MITIE GROUP PLC
SPT,GB0004726096,SPIRENT COMMUNICATIONS PLC
FOUR,GB0006640972,4IMPRINT GROUP PLC
OXIG,GB0006650450,OXFORD INSTRUMENTS PLC
LIO,GB0007388407,LIONTRUST ASSET MANAGEMENT PLC
MGNS,GB0008085614,MORGAN SINDALL GROUP PLC
LWDB,GB0031429219,LAW DEBENTURE CORPORATION PLC
NCC,GB00B01QGK86,NCC GROUP PLC
INVP,GB00B17BBQ50,INVESTEC PLC
HFG,GB00B1V9NW54,HILTON FOOD GROUP PLC
TYMN,GB00B29H4253,TYMAN PLC
REDD,GB00B41H7391,REDDE NORTHGATE PLC
EZJ,GB00B7KR2P84,EASYJET PLC
PFD,GB00B7N0K053,PREMIER FOODS PLC
PLUS,IL0011284465,PLUS500 LTD
PETS,GB00BJ62K685,PETS AT HOME GROUP PLC
CLG,GB00BMMV6B79,CLIPPER LOGISTICS PLC
FAN,GB00BN3ZZ526,VOLUTION GROUP PLC
PRTC,GB00BY2Z0H74,PURETECH HEALTH PLC
KNOS,GB00BZ0D6727,KAINOS GROUP PLC
PHP,GB00BYRJ5J14,PRIMARY HEALTH PROPERTIES PLC
CMCX,GB00B14SKR37,CMC MARKETS PLC
FUTR,GB00BYZN9041,FUTURE PLC
DEC,GB00BYX7JT74,DIVERSIFIED ENERGY COMPANY PLC
SRE,GG00B1W3VF54,SIRIUS REAL ESTATE LD
JTC,JE00BF4X3P53,JTC PLC
VVO,GB00BDGT2M75,VIVO ENERGY PLC
OXB,GB00BDFBVT43,OXFORD BIOMEDICA PLC
AJB,GB00BFZNLB60,AJ BELL PLC
NETW,GB00BH3VJ782,NETWORK INTERNATIONAL HOLDINGS PLC
WOSG,GB00BJDQQ870,WATCHES OF SWITZERLAND GROUP PLC
TRN,GB00BKDTK925,TRAINLINE PLC
HTWS,GB00BJVQC708,HELIOS TOWERS PLC
N91,GB00BJHPLV88,NINETY ONE PLC
BYIT,GB00BMH18Q19,BYTES TECHNOLOGY GROUP PLC
AML,GB00BN7CG237,ASTON MARTIN LAGONDA GLOBAL HOLDING
DOCS,GB00BL6NGV24,DR. MARTENS PLC
MOON,GB00BMT9K014,MOONPIG GROUP PLC
ATG,GB00BMVQDZ64,AUCTION TECHNOLOGY GROUP PLC
TRST,GB00BNK9TP58,TRUSTPILOT GROUP PLC
HBR,GB00BMBVGQ36,HARBOUR ENERGY PLC
BCG,GB00BN44P254,BALTIC CLASSIFIEDS GROUP PLC
BPT,GB00BND88V85,BRIDGEPOINT GROUP PLC
0RYA,IE00BYTBXV33,RYANAIR HOLDINGS PLC
