Mnemonic,ISIN,Issuer Name
IAG,ES0177542018,INTL CONSOLIDATED AIRLINES GROUP SA
RR.,GB00B63H8491,ROLLS-ROYCE HOLDINGS PLC
WPP,JE00B8KF9B49,WPP PLC
CCH,CH0198251305,COCA-COLA HBC AG
SGE,GB00B8C3BL03,SAGE GROUP PLC
AVV,GB00BBG9VN75,AVEVA GROUP PLC
RMG,GB00BDVZYZ77,ROYAL MAIL PLC
INF,GB00BMJ6DW54,INFORMA PLC
BME,LU1072616219,B&M EUROPEAN VALUE RETAIL S.A.
AUTO,GB00BVYVFW23,AUTO TRADER GROUP PLC
SPX,GB00BWFGQN14,SPIRAX-SARCO ENGINEERING PLC
SKG,IE00B1RR8406,SMURFIT KAPPA GROUP PLC
ICP,GB00BYT1DJ19,INTERMEDIATE CAPITAL GROUP PLC
LAND,GB00BYW0PQ60,LAND SECURITIES GROUP PLC
AVST,GB00BDD85M81,AVAST PLC
RMV,GB00BGDT3G23,RIGHTMOVE  PLC
ABDN,GB00BF8Q6K64,ABRDN PLC
PHNX,GB00BGXQNP29,PHOENIX GROUP HOLDINGS PLC
IHG,GB00BHJYC057,INTERCONTINENTAL HOTELS GROUP PLC
CRDA,GB00BJFFLV09,CRODA INTERNATIONAL PLC
AAF,GB00BKDRYJ47,AIRTEL AFRICA PLC
MNG,GB00BKFB1C65,M&G PLC
EDV,GB00BL6K5J42,ENDEAVOUR MINING PLC
BKG,GB00BLJNXL82,BERKELEY GROUP HOLDINGS (THE) PLC
MRO,GB00BNR5MZ78,MELROSE INDUSTRIES PLC
JD.,GB00BM8Q5M07,JD SPORTS FASHION PLC
FIN,GB00BJ7HMW26,FINABLR PLC
CAR,GB0001751915,CARCLO PLC
CGS,GB0001795680,CASTINGS PLC
CTO,GB0002015021,TCLARKE PLC
CLLN,GB0007365546,CARILLION PLC
ASC,GB0030927254,ASOS PLC
POG,GB0031544546,PETROPAVLOVSK PLC
DIA,GB0033057794,DIALIGHT PLC
NANO,GB00B01JLR99,NANOCO GROUP PLC
RAV,GB00B0D5V538,RAVEN PROPERTY GROUP LIMITED
SNWS,GB00B17WCR61,SMITHS NEWS PLC
GLB,IE0000669501,GLANBIA PLC
BVC,IL0010849045,BATM ADVANCED COMMUNICATIONS LD
GEMD,VGG379591065,GEM DIAMONDS LD
STB,GB00B6TKHP66,SECURE TRUST BANK PLC
EVR,GB00B71N6K86,EVRAZ PLC
GMS,GB00BJVWTM27,GULF MARINE SERVICES PLC
SCS,GB00BRF0TJ56,SCS GROUP PLC
DPEU,NL0012328801,DP EURASIA N.V.
BIRG,IE00BD1RP616,BANK OF IRELAND GROUP PLC
