Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
Gattaca,GATC,1500,153.5,195,135,09/11/2021,149.9,25/11/2021,-54.0
ITV,ITV,10000,105.5,145,95,03/11/2021,100.0,03/03/2022,-550.0
Centralnic,CNIC,1500,136.0,165,105,03/11/2021,143.1,30/11/2021,106.0
Hill and Smith,HILS,220,1811.4,1950,1650,03/11/2021,1667.5,30/12/2021,-317.0
Up Global,UPGS,3000,170.2,210,140,01/11/2021,211.0,22/11/2021,1224.0
Sanderson,SDG,5000,165.0,195,145,29/10/2021,172.0,14/12/2021,350.0
Entain,ENT,200,1930.0,2400,1820,26/10/2021,2002.0,17/11/2021,144.0
Royal Mail,RMG,1000,416.6,490,393,25/10/2021,500.1,18/01/2022,835.0
Lucedo,LUCE,2000,322.4,390,290,21/10/2021,395.0,11/11/2021,1252.0
Argentex,AGFX,5000,85.4,95,72,14/10/2021,92.0,05/01/2022,330.0
Watches of Switzerland,WOSG,250,1052.0,1250,920,13/10/2021,1420.0,22/11/2021,1190.0
Centralnic,CNIC,5000,112.5,155,95,12/10/2021,143.1,30/11/2021,1530.0
Sureserve,SUR,5000,69.84,95,54,06/10/2021,,,
Argentex,AGFX,4000,97.2,120,85,30/09/2021,93.0,13/10/2021,-168.0
Watches of Switzerland,WOSG,500,949.1,1100,870,30/09/2021,1344.0,14/01/2022,1975.0
Telecom Plus,TEP,500,1170.0,1400,1100,27/09/2021,1520.0,09/12/2021,1750.0
CMC,CMCX,1500,269.0,350,220,22/09/2021,255.0,17/11/2021,-210.0
Somero,SOM,750,543.75,620,450,22/09/2021,500.0,12/11/2021,-508.0
Avon Protection,AVON,225,1775.8,2100,1650,21/09/2021,1236.0,12/11/2021,-1214.0
Telecom Plus,TEP,1000,1019.3,1250,900,20/09/2021,,,
888,888,1000,390.0,550,350,13/09/2021,434.0,28/09/2021,440.0
Sthree,STEM,800,553.0,640,510,10/09/2021,568.0,12/11/2021,120.0
Gattaca,GATC,2000,197.8,260,150,07/09/2021,149.9,25/11/2021,-958.0
Science,SAG,1000,450.0,530,380,07/09/2021,,,
Morgan Advanced Material,MGAM,1000,399.0,450,340,02/09/2021,389.6,17/09/2021,-94.0
Gattaca,GATC,2500,197.0,250,150,23/08/2021,149.9,25/11/2021,-1178.0
Sureserve,SUR,3500,91.75,110,77,19/08/2021,83.0,20/09/2021,-306.0
Hays,HAS,2500,151.8,185,130,17/08/2021,160.5,12/11/2021,217.0
Ninety One,N91,1250,237.2,320,215,10/08/2021,259.6,27/09/2021,280.0
Spirent,SPT,1000,270.0,330,240,09/08/2021,,,
Alumasc,ALU,1000,215.0,260,160,06/08/2021,,,
Up Global,UPGS,1000,203.0,245,170,30/07/2021,188.5,30/09/2021,-145.0
