Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
Syncona,SYNC,1500,268.23,290,245,15/10/2018,295.1,04/03/2019,403.0
Strix,KETL,2500,146.4,160,130,11/10/2018,149.0,22/01/2019,65.0
Fairfx,FFX,2500,126.95,145,115,11/10/2018,122.0,15/01/2019,-123.0
Fairfx,FFX,2500,138.4,170,110,24/09/2018,140.2,09/10/2018,45.0
Strix,KETL,5000,156.5,195,145,21/09/2018,149.0,22/01/2019,-375.0
SimplyBiz,SBIZ,5000,189.5,250,150,11/09/2018,184.0,22/10/2018,-275.0
NWF,NWF,2500,180.0,220,140,02/07/2018,186.25,28/09/2018,156.0
Robert Walters,RWA,500,702.0,800,600,29/06/2018,733.4,17/09/2018,157.0
Countrywide,CWD,10000,37.9,50,30,29/06/2018,48.37,23/07/2018,1046.0
Cakebox,CBOX,5000,125.9,160,100,27/06/2018,181.0,01/10/2018,2755.0
Cakebox,CBOX,3500,125.0,165,100,27/06/2018,181.5,01/10/2018,1977.0
Cineworld,CINE,3000,259.3,300,220,21/06/2018,226.5,11/11/2019,-984.0
Xpediator,XPD,5000,69.25,80,60,19/06/2018,80.3,17/07/2018,540.0
RWA,RWA,500,672.31,800,600,15/06/2018,733.4,17/09/2018,306.0
Alliance Pharma,APH,5000,94.9,120,80,07/06/2018,90.1,05/09/2018,-240.0
GVC,GVC,300,1024.0,1400,840,07/06/2018,1103.0,23/08/2018,237.0
Entertainment One,ETO,3000,316.4,400,280,06/06/2018,576.0,13/09/2019,7800.0
Tritax,BBOX,5000,151.0,180,130,05/06/2018,143.2,02/11/2018,-395.0
Ab Dynamics,ABDP,500,1098.8,1400,900,04/06/2018,1882.0,20/03/2019,3916.0
Dignity,DTY,500,1010.7,1100,900,01/06/2018,1027.0,26/09/2018,-100.0
H&T,HAT,2500,329.0,370,280,22/05/2018,320.6,06/08/2018,-210.0
Rosenblatt,RBGP,5000,115.9,170,96,18/05/2018,106.0,10/08/2018,-495.0
Computacentre,CCC,400,1294.0,1500,1300,17/05/2018,1547.0,15/08/2018,1012.0
Cerillion,CER,2500,123.9,155,105,16/05/2018,161.6,09/10/2018,943.0
Entertainment One,ETO,1000,288.9,320,270,10/05/2018,576.0,13/09/2019,2871.0
Scapa,SCPA,2000,409.5,450,350,04/05/2018,438.17,08/10/2018,573.0
Van Elle,VANL,7500,83.9,105,75,03/05/2018,95.9,29/05/2018,900.0
Dignity,DTY,500,1099.0,1400,1000,30/04/2018,1027.0,26/09/2018,-360.0
NWF,NWF,2500,194.0,225,180,25/04/2018,186.25,28/09/2018,-194.0
Vectura,VEC,5000,78.5,100,68,25/04/2018,79.2,02/10/2018,35.0
K3C,K3C,1000,281.8,350,230,25/04/2018,240.5,14/02/2019,-413.0
Science Group,SAG,1500,214.0,300,180,19/04/2018,210.0,09/03/2020,-60.0
Science Group,SAG,2500,212.0,300,180,19/04/2018,234.0,08/10/2018,550.0
Future,FUTR,1000,416.0,500,400,18/04/2018,781.5,20/03/2019,3655.0
Alliance Pharma,APH,10000,76.5,95,65,17/04/2018,94.95,08/08/2018,1845.0
ITV,ITV,5000,142.5,165,130,12/04/2018,167.5,07/08/2018,1250.0
Vectura,VEC,10000,78.5,100,65,29/03/2018,93.0,23/04/2018,1450.0
Redde,REDE,3500,169.6,185,135,27/03/2018,181.0,28/06/2018,399.0
Sopheon,SPE,900,669.0,750,550,22/03/2018,1151.25,20/03/2019,4340.0
Kape,Kape,7500,81.2,100,65,20/03/2018,104.75,11/04/2018,1766.0
Fulcrum,FCRM,5000,59.7,70,60,19/03/2018,60.0,02/10/2018,15.0
Fenner,FENR,4000,487.0,550,400,19/03/2018,609.0,09/05/2018,4880.0
NWF,NWF,2500,187.0,220,150,16/03/2018,186.25,28/09/2018,-19.0
Augmentium Fin,AUGM,5000,100.0,120,89,07/03/2018,103.2,18/01/2019,160.0
Amino,AMO,2000,197.5,220,180,28/02/2018,175.0,08/10/2018,-450.0
Next Fifteen,NFC,1000,424.75,500,370,19/02/2018,478.3,05/03/2020,536.0
K3C,K3C,1000,199.78,300,180,05/02/2018,230.0,28/02/2019,303.0
Ab Dynamics,ABDP,500,780.0,900,720,29/01/2018,,,
Sopheon,SPE,1000,505.2,650,450,25/01/2018,682.0,28/02/2020,1768.0
Future,FUTR,1000,387.0,430,340,24/01/2018,1042.0,01/07/2019,6550.0
Abcam,ABC,500,1163.9,1300,1080,22/01/2018,1256.4,20/03/2018,463.0
K3C,K3C,1500,179.9,245,150,16/01/2018,230.0,28/02/2019,752.0
Computacentre,CCC,500,1129.0,1250,1050,22/12/2017,1169.0,22/03/2018,200.0
Taptica,TAP,1500,385.2,550,320,21/12/2017,400.0,13/03/2018,222.0
Fenner,FENR,2000,375.0,430,350,12/12/2017,503.5,12/01/2018,2570.0
Sanderson,SND,6242,80.0,95,70,08/12/2017,83.0,21/03/2018,187.0
Swallowfield,SWL,1500,318.0,360,290,08/12/2017,327.5,20/03/2018,142.0
T Clarke,TCO,4000,72.0,90,60,06/12/2017,81.31,12/10/2018,364.0
T Clarke,TCO,10000,73.9,90,60,06/12/2017,81.31,12/10/2018,741.0
Everyman Media,EMAN,2000,201.0,230,170,05/12/2017,220.0,25/02/2020,380.0
Cerillion,CER,2500,127.0,170,110,27/11/2017,161.6,09/10/2018,865.0
Ab Dynamics,ABDP,1000,727.0,950,600,16/11/2017,864.0,23/01/2018,1370.0
Avon Rubber,Avon,500,1107.0,1250,1000,16/11/2017,2528.4,12/07/2021,7107.0
Avon Rubber,Avon,202,1087.0,1100,1020,15/11/2017,1236.0,12/11/2021,301.0
888,888,2000,244.0,280,225,26/10/2017,293.0,12/01/2018,972.0
K3C,K3C,1000,127.9,185,115,25/10/2017,,,
K3C,K3C,1000,128.9,185,115,25/10/2017,170.9,01/04/2019,420.0
Zytronic,ZYT,1000,530.0,600,480,24/10/2017,576.7,09/11/2017,467.0
Gb Group,GBG,1000,413.7,450,390,24/10/2017,422.0,14/11/2017,83.0
Somero,SOM,2000,291.9,330,270,24/10/2017,287.5,09/11/2017,-88.0
Smith DS,SMDS,1000,493.0,540,474,23/10/2017,544.75,04/12/2017,517.0
Concurrent,CNC,5000,80.8,96,70,12/10/2017,77.0,08/10/2018,-190.0
Ten Entertainment,TEG,2000,202.75,230,170,12/10/2017,258.1,05/03/2020,1107.0
Fulcrum,FCRM,10000,54.9,75,45,10/10/2017,60.0,02/10/2018,510.0
Jarvis,JIM,1000,510.0,580,450,10/10/2017,596.0,13/11/2017,860.0
ULS Tech,ULS,1500,129.25,140,115,09/10/2017,143.73,05/01/2018,217.0
Numis,NUM,1500,285.2,350,240,02/10/2017,371.5,20/03/2018,1294.0
Photo-Me,PHTM,2000,167.8,195,140,02/10/2017,158.28,21/05/2018,-191.0
Headlam,HEAD,500,582.5,650,550,29/09/2017,546.1,23/11/2017,-182.0
Avon Rubber,Avon,500,900.0,1100,800,19/09/2017,1236.0,12/11/2021,1680.0
Flowtech Fluidpower,FLO,2500,125.3,155,115,18/09/2017,121.1,18/09/2018,-105.0
Flowtech Fluidpower,FLO,2500,129.75,160,115,18/09/2017,174.0,07/11/2017,1107.0
Photo-Me,PHTM,2000,171.25,190,150,15/09/2017,158.28,21/05/2018,-260.0
Alliance Pharma,APH,5000,53.0,70,44,13/09/2017,75.0,19/11/2019,1100.0
Ramsdens,RFX,2500,169.8,190,150,13/09/2017,171.5,18/02/2019,42.0
Entertainment One,ETO,1200,247.3,300,220,13/09/2017,295.0,13/11/2017,573.0
K3C,K3C,2500,138.0,190,118,11/09/2017,170.9,01/04/2019,822.0
ITV,ITV,3500,157.97,200,140,06/09/2017,173.0,23/10/2017,527.0
Paypoint,PAY,500,901.5,980,840,30/08/2017,936.9,24/10/2017,177.0
Zytronic,ZYT,1000,553.65,630,520,24/08/2017,610.15,12/10/2017,565.0
Amino,AMO,2500,179.7,250,145,15/08/2017,187.0,18/10/2017,183.0
Van Elle,VANL,5000,90.0,125,75,26/07/2017,97.0,13/09/2017,350.0
NMC,NMC,400,2086.0,2900,1900,11/07/2017,2694.0,07/03/2019,2392.0
Zytronic,ZYT,1000,499.3,550,440,06/07/2017,470.0,02/03/2018,-293.0
Volex,VLX,5000,60.88,80,52,03/07/2017,85.1,28/12/2017,1211.0
Page,PAGE,1000,472.9,520,445,03/07/2017,496.0,20/09/2017,231.0
Paysafe,PAYS,2000,504.5,570,460,03/07/2017,596.5,01/08/2017,1840.0
Next 15,NFC,500,415.25,500,370,30/06/2017,430.0,28/12/2017,74.0
Everyman Media,EMAN,3500,143.8,190,120,15/06/2017,183.6,05/03/2020,1393.0
Oxford Metrics,OMG,5000,60.4,85,40,15/06/2017,120.0,26/10/2021,2980.0
Purplebricks,PURP,2500,336.21,500,300,15/06/2017,510.0,24/07/2017,4345.0
Alliance Pharma,APH,12500,48.93,60,42,23/05/2017,75.0,19/11/2019,3259.0
Polypipe,PLP,1000,406.5,440,370,11/05/2017,415.75,16/06/2017,92.0
Tritax (rights),BBOX,4000,136.0,160,125,11/05/2017,143.2,02/11/2018,284.0
Concurrent Tech,CNC,7500,77.0,98,68,03/05/2017,94.55,23/05/2017,1316.0
Eddie Stobart,ESL,2500,159.0,185,145,27/04/2017,155.0,13/10/2017,-100.0
Up Global,UPGS,2500,171.7,220,155,27/04/2017,223.75,06/06/2017,1301.0
YU Group,YU.,1000,345.0,450,310,21/04/2017,431.0,24/05/2017,860.0
IG Group,IGG,1000,515.7,620,470,18/04/2017,675.5,10/11/2017,1598.0
Ten Entertainment,TEG,2500,162.65,180,150,13/04/2017,,,
Concurrent Tech,CNC,3500,72.25,90,62,13/04/2017,77.0,08/10/2018,167.0
Alumasc,ALU,2200,175.1,195,135,06/04/2017,181.3,25/05/2017,136.0
Eurocell,ECEL,1400,244.89,285,220,04/04/2017,257.6,08/06/2017,178.0
Morgan Sindall,MGNS,400,990.0,1100,920,04/04/2017,1355.0,24/01/2018,1460.0
Sportech,SPO,5000,101.48,120,85,03/04/2017,99.5,20/07/2017,-99.0
Science Group,SAG,2500,170.0,220,135,31/03/2017,227.0,11/09/2017,1425.0
Ramsdens,RFX,3500,102.0,125,95,28/03/2017,171.5,18/02/2019,2432.0
Next 15,NFC,1500,391.8,450,350,28/03/2017,430.0,28/12/2017,573.0
NMC,NMC,300,1751.0,1950,1650,28/03/2017,2538.22,29/01/2019,2361.0
Sopheon,SPE,1000,460.0,530,410,20/03/2017,416.0,04/05/2017,-440.0
Somero,SOM,2000,281.4,330,250,17/03/2017,331.5,11/05/2017,1002.0
Safecharge,SCH,1100,217.0,280,200,16/03/2017,280.0,31/05/2017,693.0
Dignity,DTY,150,2386.9,2600,2220,09/03/2017,2554.0,10/03/2017,251.0
Dominos,DOM,2500,333.41,360,310,09/03/2017,332.0,03/05/2017,-35.0
Harvey Nash,HVN,4500,63.25,72,57,06/03/2017,75.4,17/05/2017,548.0
Morgan Sindall,MGNS,500,1039.25,1100,950,06/03/2017,1290.9,06/07/2017,1258.0
Motorpoint,MOTR,2500,130.8,142,122,03/03/2017,160.9,18/04/2017,752.0
Hollywood Bowl,BOWL,469,158.5,200,145,03/03/2017,,,
Xeros,XSG,1500,214.25,330,190,02/03/2017,280.75,06/10/2017,998.0
Xafinity,XAF,3000,153.59,180,120,23/02/2017,164.75,28/06/2017,335.0
NCC,NCC,3500,96.0,120,82,22/02/2017,117.3,28/02/2017,745.0
Ramsdens,RFX,5000,96.5,110,85,16/02/2017,107.9,10/03/2017,570.0
K3 Business,KBT,2000,254.0,270,225,13/02/2017,253.0,01/03/2017,-20.0
Redrow,RDW,750,474.3,520,450,09/02/2017,573.5,16/05/2017,744.0
Purplebricks,PURP,1500,211.8,350,180,09/02/2017,448.83,08/06/2017,3555.0
Purplebricks,PURP,2000,211.8,350,180,09/02/2017,411.0,06/06/2017,3986.0
Dialight,DIA,500,911.2,1000,840,03/02/2017,1056.5,13/03/2017,726.0
Van Elle,VANL,7500,111.0,125,103,01/02/2017,97.03,22/03/2017,-1048.0
Van Elle,VANL,4400,109.75,125,103,01/02/2017,126.0,17/02/2017,715.0
Netplay,NPT,100000,8.25,12,7,30/01/2017,8.83,07/03/2017,580.0
Netplay,NPT,50000,8.15,12,7,30/01/2017,8.83,07/03/2017,340.0
Sopheon,SPE,1000,389.0,450,330,30/01/2017,682.0,28/02/2020,2930.0
Greencore,GNC,1500,221.4,280,190,30/01/2017,266.9,14/03/2017,682.0
Safecharge,SCH,2500,201.8,270,160,24/01/2017,450.0,30/07/2019,6205.0
Next 15,NFC,1000,321.0,380,280,23/01/2017,1141.0,24/09/2021,8200.0
Safecharge,SCH,1500,197.0,260,150,18/01/2017,450.0,30/07/2019,3795.0
Somero,SOM,1200,223.0,265,195,03/01/2017,290.0,08/09/2017,804.0
Burford,BUR,1000,539.0,750,480,22/12/2016,857.6,23/05/2017,3186.0
IG Group,IGG,1000,497.4,550,450,22/12/2016,539.0,23/01/2017,416.0
Servelec,SERV,1500,269.36,320,230,21/12/2016,282.2,13/03/2017,193.0
Paysafe,PAYS,1000,330.0,420,250,16/12/2016,582.5,05/10/2017,2525.0
Sopheon,SPE,1000,330.0,380,290,13/12/2016,,,
Van Elle,VANL,3000,127.8,160,110,13/12/2016,125.0,19/01/2017,-84.0
Paysafe,PAYS,1500,248.6,350,210,13/12/2016,596.5,01/08/2017,3729.0
Paysafe,PAYS,1500,307.9,380,280,13/12/2016,582.5,05/10/2017,4119.0
Softcat,SCT,1000,297.75,330,265,12/12/2016,440.49,18/05/2016,1420.0
IG Group,IGG,3500,467.3,550,420,07/12/2016,539.18,23/01/2017,2516.0
ITV,ITV,5000,171.4,250,130,06/12/2016,195.32,01/06/2017,1196.0
Market Tech,MKT,2500,141.28,170,120,30/11/2016,140.25,16/12/2016,-26.0
Alumasc,ALU,3500,146.3,180,125,28/11/2016,175.81,30/01/2017,1033.0
Convatec,CTEC,1000,230.25,300,205,24/11/2016,241.2,16/10/2017,110.0
GB,GBG,2500,240.03,275,215,22/11/2016,288.0,15/12/2016,1200.0
Telecom Plus,TEP,500,1199.2,1350,1120,22/11/2016,1224.0,16/06/2017,124.0
Avon Rubber,Avon,1000,1031.6,1150,900,16/11/2016,1111.38,10/11/2017,822.0
Paysafe,PAYS,1500,385.7,450,350,15/11/2016,596.5,01/08/2017,3162.0
32 red,TTR,2500,127.25,150,114,11/11/2016,200.25,23/02/2017,1825.0
Somero,SOM,2500,183.9,240,150,10/11/2016,290.0,08/09/2017,2653.0
Scisys,SSY,5000,90.0,120,80,10/11/2016,107.0,31/01/2017,850.0
Scisys,SSY,5000,87.0,125,80,09/11/2016,125.3,25/10/2017,1915.0
GB,GBG,1500,213.9,250,195,07/11/2016,,,
Spire,SPI,1000,368.0,420,340,02/11/2016,362.92,21/11/2016,-51.0
Biffa,BIFF,2500,167.25,185,155,26/10/2016,189.86,01/02/2017,565.0
Character,CCT,1500,431.25,460,390,18/10/2016,521.0,07/12/2016,1347.0
Tritax,BBOX,4924,132.0,160,120,14/10/2016,143.2,02/11/2018,552.0
Burford Capital,BUR,2000,450.8,520,410,11/10/2016,1526.0,29/11/2018,21504.0
Photo Me,PHTM,2500,144.5,165,120,11/10/2016,163.5,23/01/2017,475.0
LPA,LPA,2500,140.0,190,120,07/10/2016,145.0,25/05/2017,125.0
Hollywood Bowl,BOWL,2000,165.25,195,145,03/10/2016,,,
Character,CCT,1000,435.0,500,380,20/09/2016,475.0,04/10/2016,400.0
Motorpoint,MOTR,357,195.75,240,182,19/09/2016,204.88,28/09/2016,48.0
Motorpoint,MOTR,1000,200.0,240,170,19/09/2016,204.88,28/09/2016,33.0
Franchise Brand,FRAN,7500,42.8,55,30,15/09/2016,55.0,15/09/2016,915.0
Franchise Brand,FRAN,10000,43.9,55,30,15/09/2016,59.0,12/10/2016,1510.0
Franchise Brand,FRAN,15000,42.2,55,30,15/09/2016,,,
GB,GBG,1500,323.47,400,250,15/09/2016,284.3,20/10/2016,-588.0
Alliance,APH,10000,50.3,56,38,07/09/2016,,,
Vectura,VEC,5000,130.76,170,110,31/08/2016,153.51,03/04/2017,1137.0
Osirium,,1500,164.38,220,140,21/08/2016,181.0,21/10/2016,250.0
Microgen,MCGN,2500,144.64,220,120,18/08/2016,,,
Flybe,FLYB,10000,45.49,55,39,18/08/2016,50.0,27/09/2016,451.0
GVC,GVC,1000,661.05,750,595,03/08/2016,,,
Proactis,PHD,5000,112.85,150,100,03/08/2016,195.3,24/04/2017,4123.0
Servelec,SERV,1000,249.55,300,220,03/08/2016,282.0,27/09/2016,430.0
Paysafe,PAYS,1000,360.0,450,320,03/08/2016,596.5,01/08/2017,2365.0
Next 15,NFC,2500,298.0,400,250,01/08/2016,1141.0,24/09/2021,21075.0
Inland,INL,10000,56.7,69,51,12/07/2016,60.5,20/10/2016,380.0
Lookers,LOOK,5000,99.4,120,92,11/07/2016,119.25,05/10/2016,992.0
McCarthy,MCS,2500,142.1,180,120,08/07/2016,181.31,09/09/2016,980.0
Softcat,SCT,3500,277.4,350,200,07/07/2016,544.0,01/11/2017,9331.0
NCC,NCC,2000,272.7,310,250,07/07/2016,224.4,20/10/2016,-966.0
Avon,Avon,750,893.35,950,840,07/07/2016,1236.0,12/11/2021,2570.0
Character,CCT,1000,443.5,500,400,06/07/2016,475.0,04/10/2016,315.0
Easyjet,EZJ,350,1016.0,1250,950,06/07/2016,1140.0,13/09/2016,434.0
Entertainment One,ETO,2300,162.2,220,150,06/07/2016,576.0,13/09/2019,9518.0
Pets At Home,PETS,2500,206.29,250,195,05/07/2016,227.5,24/11/2016,530.0
Softcat,SCT,2000,311.0,350,260,30/06/2016,321.5,04/10/2016,208.0
Dignity,DTY,300,2510.0,3000,2700,30/06/2016,2775.3,07/03/2017,795.0
Osirium Tech,OSI,1500,154.38,180,130,29/06/2016,153.0,23/12/2016,-20.0
Next 15,NFC,2500,241.75,280,215,28/06/2016,1141.0,24/09/2021,22482.0
Tritax,BBOX,3500,117.8,140,105,28/06/2016,,,
NCC,NCC,2500,245.28,280,220,28/06/2016,224.4,20/10/2016,-522.0
D4T4 Sol,D4T4,4000,116.9,150,100,28/06/2016,,,
McCarthy,MCS,3000,158.1,200,140,27/06/2016,198.37,31/08/2016,1208.0
Telecom Plus,TEP,1000,967.0,1100,900,24/06/2016,1233.25,20/10/2016,2662.0
Photo-Me,PHTM,2500,127.11,170,111,22/06/2016,163.5,23/01/2017,910.0
Motorpoint,MOTR,1450,215.7,250,199,13/05/2016,195.0,27/06/2016,-300.0
Waterman,85.9,5000,85.9,98,70,11/05/2016,98.09,01/06/2016,609.0
Alliance Pharma,APH,10000,43.88,53,38,10/05/2016,,,
Hotel Chocolat,HOTC,1500,180.0,220,170,10/05/2016,291.0,21/10/2016,1665.0
Lookers,LOOK,3500,134.7,150,125,10/05/2016,148.4,31/05/2016,480.0
Midwich,MIDW,2000,236.9,260,220,09/05/2016,265.1,15/06/2016,564.0
Empresaria,EMR,2500,82.7,94,75,05/05/2016,122.3,24/01/2017,870.0
Avon,Avon,400,801.0,890,735,04/05/2016,1236.0,12/11/2021,1740.0
Avon,Avon,250,797.86,880,730,04/05/2016,1236.0,12/11/2021,1096.0
NCC,NCC,2500,263.53,300,240,25/04/2016,287.12,01/06/2016,590.0
Osirium Tech,OSI,2000,172.0,220,150,21/04/2016,190.88,13/06/2016,374.0
Pets At Home,PETS,1500,237.11,260,230,20/04/2016,227.5,24/11/2016,-144.0
Telecom Plus,TEP,1000,822.7,1000,789,15/04/2016,1041.1,08/06/2016,2184.0
Cerillion,CER,2500,109.9,135,99,15/04/2016,124.6,24/05/2016,368.0
Entertainment One,ETO,4500,171.9,220,150,14/04/2016,,,
Flowgroup,FLOW,25000,17.25,30,15,01/04/2016,25.1,28/04/2016,1963.0
Character,CCT,1000,479.5,550,460,30/03/2016,475.0,04/10/2016,-45.0
Cerillion,CER,5000,91.5,150,80,29/03/2016,136.0,13/04/2016,2225.0
IS Solutions,ISL,2500,144.8,170,125,24/03/2016,134.0,13/06/2016,-270.0
Cerillion,CER,10000,82.5,110,70,23/03/2016,141.5,19/04/2017,5900.0
CMC,CMC,2000,238.0,280,220,21/03/2016,235.0,08/09/2016,-60.0
Softcat,SCT,2500,296.1,330,275,18/03/2016,377.0,06/06/2016,2023.0
YU,YU.,2500,198.0,250,180,17/03/2016,800.75,07/11/2017,15068.0
Vectura,VEC,2500,148.3,180,130,16/03/2016,153.51,03/04/2017,130.0
Fusionex,FXI,2500,147.5,180,110,15/03/2016,177.0,31/05/2016,738.0
Interquest,ITQ,5000,81.0,95,70,10/03/2016,94.5,07/06/2016,675.0
Powerflute,POWR,5000,83.74,95,72,08/03/2016,89.0,15/09/2016,263.0
Impellam,IPEL,500,811.9,920,720,07/03/2016,840.0,26/04/2016,141.0
Interquest,ITQ,5000,78.0,93,72,01/03/2016,94.5,07/06/2016,825.0
Quartix,QTX,1000,330.0,450,290,29/02/2016,384.25,24/10/2016,542.0
Market Tech,MKT,2500,187.75,220,170,26/02/2016,168.5,31/03/2016,-481.0
Entertainment One,ETO,3500,143.3,180,120,24/02/2016,157.7,02/03/2016,504.0
Entertainment One,ETO,2500,137.4,180,120,17/02/2016,157.7,02/03/2016,500.0
Equiniti,EQN,2500,132.4,180,120,16/02/2016,,,
St Ives,SIV,1500,230.5,270,210,16/02/2016,151.4,25/04/2016,-1186.0
Xaar,XAR,1000,436.66,480,395,15/02/2016,476.67,01/03/2016,400.0
NCC,NCC,1500,259.9,320,220,12/02/2016,253.5,29/03/2016,-96.0
Countryside,CSP,2000,225.0,285,210,12/02/2016,361.5,16/10/2017,2730.0
Vislink,VLK,20000,22.0,28,20,12/02/2016,25.13,23/02/2016,626.0
Tritax (rights),BBOX,5000,124.0,135,112,12/02/2016,,,
CMC,CMC,2500,219.2,250,210,11/02/2016,235.0,08/09/2016,395.0
St Ives,SIV,1500,225.3,250,210,11/02/2016,151.4,25/04/2016,-1108.0
Softcat,SCT,1500,277.9,320,260,11/02/2016,351.38,01/03/2016,1102.0
Entertainment One,ETO,5000,131.6,160,120,10/02/2016,,,
Paysafe,PAYS,2500,353.0,420,320,08/02/2016,596.5,05/10/2017,6087.0
Fusionex,FXI,2500,120.0,180,85,26/01/2016,177.0,31/05/2016,1425.0
Xaar,XAR,500,458.5,520,440,22/01/2016,475.68,08/02/2015,86.0
Iomart,IOM,2000,226.3,290,190,22/01/2016,,,
NCC,NCC,2500,303.5,350,280,21/01/2016,309.0,04/02/2016,138.0
Paysafe,PAYS,2500,381.75,500,340,21/01/2016,596.5,05/10/2017,5369.0
Pets At Home,PETS,2500,247.4,295,220,21/01/2016,278.0,01/03/2016,765.0
Tritax,BBOX,3000,126.7,140,115,20/01/2016,,,
RPC (rights),RPC,200,460.0,800,460,20/01/2016,977.5,19/10/2016,1035.0
Paysafe,PAYS,1000,385.0,450,320,08/01/2016,394.0,05/02/2016,90.0
Worldpay,WGP,1000,301.0,350,250,04/01/2016,409.0,04/07/2017,1080.0
Softcat,SCT,2000,322.9,380,270,22/12/2015,337.9,04/02/2016,100.0
Cyprotex,CRX,3000,87.0,140,55,17/12/2015,123.0,29/12/2015,1080.0
Cyprotex,CRX,2000,87.0,140,55,17/12/2015,159.0,01/12/2016,1433.0
Quantum Pharma,QP.,5000,91.45,120,82,10/12/2015,98.0,08/01/2015,328.0
Robinson,RBN,2500,202.0,250,185,08/12/2015,209.0,18/01/2016,175.0
Entertainment One,ETO,1500,139.8,250,100,08/12/2015,,,
RPC,RPC,1000,774.0,850,720,08/12/2015,977.5,19/10/2016,2025.0
Softcat,SCT,1000,295.75,370,260,07/12/2015,377.0,06/06/2016,813.0
Total Produce,TOT,2500,102.5,120,90,07/12/2015,145.28,17/11/2016,1070.0
NCC,NCC,2000,279.0,330,250,03/12/2015,293.5,02/03/2016,290.0
Goal Soccer Centres,GOAL,5000,146.9,200,130,17/11/2015,132.5,15/01/2016,-720.0
Stadium,SDM,5000,116.9,135,105,12/11/2015,116.17,27/11/2015,-37.0
Xeros,XSG,1000,210.25,280,195,12/11/2015,230.17,21/10/2016,199.0
Gulf Marine,GMS,2500,95.25,115,89,12/11/2015,99.6,21/12/2015,59.0
Gulf Marine,GMS,2500,97.25,120,90,11/11/2015,99.6,21/12/2015,59.0
McCarthy & Stone,MCS,2500,207.5,280,250,06/11/2015,189.9,24/06/2016,-440.0
Vislink,VLK,25000,34.49,42,32,03/11/2015,35.2,23/11/2015,128.0
Ibstock,IBST,3500,191.25,250,170,02/11/2015,190.86,19/11/2015,-13.0
Amino Tech,AMO,2500,109.6,125,99,29/10/2015,187.0,18/10/2017,1935.0
Equiniti,EQN,2500,152.8,200,140,28/10/2015,160.4,03/02/2016,190.0
Worldpay,WPG,2000,260.71,400,235,16/10/2015,409.0,04/07/2017,2966.0
Empresaria,EMR,5000,82.0,100,70,12/10/2015,122.3,24/01/2017,2025.0
Entertainment One (rights shares),ETO,8000,153.0,340,153,09/10/2015,142.5,04/02/2016,-840.0
Finsbury,FIF,4500,100.8,122,95,09/10/2015,112.4,04/02/2016,522.0
Energy Assets,EAS,827,475.25,550,440,08/10/2015,684.0,24/04/2016,1726.0
Avesco,AVS,2000,204.75,260,180,07/10/2015,637.5,25/11/2016,8655.0
Gamma Comms,GAMA,1500,349.9,395,320,01/10/2015,,,
Flowgroup,FLOW,50000,11.4,16,10,30/09/2015,21.63,29/04/2016,5115.0
Diploma,DPLM,1000,657.9,700,640,29/09/2015,704.0,18/11/2015,461.0
Next 15,NFC,1500,181.9,220,160,29/09/2015,252.8,07/12/2015,1064.0
Next 15,NFC,1500,181.9,220,160,29/09/2015,1141.0,24/09/2021,14387.0
Poundland,PNLD,2000,273.6,320,250,25/09/2015,275.24,12/11/2015,32.0
Quantum Pharma,QP.,3000,120.0,150,105,23/09/2015,107.5,20/11/2015,-375.0
Kainos,KNOS,1500,207.75,250,180,18/09/2015,284.5,16/10/2017,1121.0
Regenersis,RGS,4000,140.0,225,125,17/09/2015,192.0,23/02/2016,2080.0
Nahl,NAH,1900,303.95,400,275,15/09/2015,337.0,26/11/2015,628.0
Alumasc,ALU,4500,174.8,225,160,14/09/2015,191.7,08/02/2016,760.0
Entertainment One,ETO,1000,273.42,340,250,11/09/2015,216.0,23/11/2015,-574.0
Powerflute,POWR,4000,80.0,120,67,08/09/2015,89.0,15/09/2016,360.0
Photo Me,PHTM,4000,145.75,180,128,07/09/2015,163.5,23/01/2017,710.0
P2P Global C,P2P2,487,1000.0,1200,920,24/07/2015,930.0,05/02/2016,-341.0
Kainos,KNS,5000,184.95,300,170,16/07/2015,245.2,15/01/2016,3013.0
Entertainment One,ETO,1000,327.5,360,305,15/07/2015,330.5,07/08/2015,30.0
Kainos,KNOS,2500,179.6,250,160,13/07/2015,225.82,15/09/2015,1155.0
Alliance Pharma,APH,10000,43.5,55,37,08/07/2015,60.05,07/08/2015,1655.0
Paysafe,PAYS,1500,221.1,320,200,02/07/2015,596.5,05/10/2017,5632.0
Character,CCT,1000,452.5,550,405,29/06/2015,475.0,04/10/2016,225.0
Telecom Plus,TEP,500,887.0,1000,820,25/06/2015,1148.0,09/10/2015,1305.0
Aldermore,ALD,2500,278.75,340,250,19/06/2015,262.0,20/11/2015,-418.0
Pets At Home,PETS,1500,278.5,330,250,17/06/2015,311.1,29/10/2015,489.0
Entertainment One,ETO,1500,349.5,420,320,10/06/2015,330.5,07/08/2015,-285.0
Redcentric,RCN,3000,159.9,200,130,09/06/2015,194.0,14/09/2015,1023.0
AGA,AGA,5000,104.5,150,90,09/06/2015,148.0,22/06/2015,2175.0
Poundland,PNLD,1500,299.3,350,280,09/06/2015,320.1,18/09/2015,311.0
Nahl,NAH,1000,310.25,380,280,08/06/2015,330.0,26/11/2015,198.0
