Stock,Epic,Qty,Price,Target,Stop,Date,Sell,Sell Date,P/L
XPP,XPP,4,4855.0,5200,4650,2021-11-29,5190.0,2021-12-29,1423.0
Hikma,HIK,2,1948.0,2100,1850,2019-09-13,1988.0,2019-11-07,80.0
Superdry,SDRY,10,1185.0,1250,1050,2018-05-16,1280.0,2018-05-13,950.0
Supergroup,SPG,30,1709.0,1800,1600,2017-10-02,1990.0,2017-11-17,8430.0
IG Group,IGG,10,492.0,550,450,2017-03-30,787.0,2018-01-19,2950.0
Emis,EMIS,10,882.0,960,840,2017-03-30,945.0,2017-05-18,630.0
Dominos,DOM,20,328.0,360,300,2017-03-09,332.0,2017-05-03,80.0
Just Eat,JE.,20,513.0,570,500,2017-01-17,570.0,2017-04-19,1140.0
