,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,MSFT,SPY,MSFT,SPY,MSFT,SPY,MSFT,SPY,MSFT,SPY,MSFT,SPY
Date,,,,,,,,,,,,
2020-05-01,179.94085693359375,295.62646484375,183.25,304.32000732421875,187.50999450683594,306.8399963378906,173.8000030517578,272.989990234375,175.8000030517578,285.30999755859375,688845000.0,1910460500.0
2020-05-20,,,,,,,,,,,,
2020-06-01,200.39154052734375,299.5510559082031,203.50999450683594,308.3599853515625,204.39999389648438,323.4100036621094,181.35000610351562,296.739990234375,182.5399932861328,303.6199951171875,764965400.0,2358674500.0
2020-06-19,,,,,,,,,,,,
2020-07-01,201.86854553222656,318.58807373046875,205.00999450683594,326.5199890136719,216.3800048828125,327.2300109863281,197.50999450683594,309.07000732421875,203.13999938964844,309.57000732421875,770190800.0,1505145300.0
2020-08-01,222.0741424560547,340.824462890625,225.52999877929688,349.30999755859375,231.14999389648438,351.29998779296875,203.13999938964844,327.7300109863281,211.52000427246094,328.32000732421875,692423900.0,1045563300.0
2020-08-19,,,,,,,,,,,,
2020-09-01,207.60768127441406,326.75482177734375,210.3300018310547,334.8900146484375,232.86000061035156,358.75,196.25,319.79998779296875,225.50999450683594,350.2099914550781,768176300.0,1814712700.0
2020-09-18,,,,,,,,,,,,
2020-10-01,199.84942626953125,319.88299560546875,202.47000122070312,326.5400085449219,225.2100067138672,354.0199890136719,199.6199951171875,322.6000061035156,213.49000549316406,337.69000244140625,631618000.0,1629016100.0
2020-11-01,211.2992706298828,354.6788635253906,214.07000732421875,362.05999755859375,228.1199951171875,364.3800048828125,200.1199951171875,327.239990234375,204.2899932861328,330.20001220703125,573443000.0,1535244300.0
2020-11-18,,,,,,,,,,,,
2020-12-01,220.115966796875,366.2579345703125,222.4199981689453,373.8800048828125,227.17999267578125,378.4599914550781,209.11000061035156,362.0299987792969,214.50999450683594,365.57000732421875,594761700.0,1344541500.0
2020-12-18,,,,,,,,,,,,
2021-01-01,229.55714416503906,364.0709228515625,231.9600067138672,370.07000732421875,242.63999938964844,385.8500061035156,211.94000244140625,364.82000732421875,222.52999877929688,375.30999755859375,648076400.0,1402265400.0
