Segment,Sector,Issuer Name,ISIN,Sedol,Security Type,MiFIR Identifier,Currency,Trading Parameter Code,Price Tick Table ID,Country of Register,Mnemonic,Short Name,Long Name,Professional Investor Only,EMS,Max Spread Floor,Max Spread Perc.,ADT / PTS (EU),ADT / PTS (UK),Issuer Version Start Date
SET1,FE10,TESCO PLC,GB00BLGZ9862,BLGZ986,DE,SHRS,GBX,TP_1,TM_47,GB,TSCO,TESCO,ORD 6 1/3P,N,7500.0,1.0,5.0,27969123.0,114953535.0,15/02/2021
SET1,FE10,SHELL PLC,GB00BP6MXD84,BP6MXD8,DE,SHRS,GBX,TP_1,TM_48,GB,SHEL,SHELL PLC,ORD EUR0.07,N,750.0,1.0,5.0,71157300.0,848552043.0,31/01/2022
SET1,FS10,ANTOFAGASTA PLC,GB0000456144,0045614,DE,SHRS,GBX,TP_2,TM_47,GB,ANTO,ANTOFAGASTA,ORD 5P,N,1000.0,1.0,5.0,19071407.0,59400770.0,14/06/2021
SET1,FS10,BARRATT DEVELOPMENTS PLC,GB0000811801,0081180,DE,SHRS,GBX,TP_2,TM_47,GB,BDEV,BARRATT DEVEL.,ORD 10P,N,3000.0,1.0,5.0,12721859.0,46977449.0,04/12/2017
SET1,FS10,BRITISH LAND CO PLC,GB0001367019,0136701,DE,SHRS,GBX,TP_2,TM_47,GB,BLND,BR.LAND,ORD 25P,N,3000.0,1.0,5.0,7918567.0,30575461.0,19/10/2020
SET1,FS10,AVIVA PLC,GB0002162385,0216238,DE,SHRS,GBX,TP_2,TM_47,GB,AV.,AVIVA,ORD 25P,N,5000.0,1.0,5.0,22634015.0,88234082.0,13/12/2021
SET1,FS10,SCHRODERS PLC,GB0002405495,0240549,DE,SHRS,GBX,TP_2,TM_46,GB,SDR,SCHRODERS,VTG SHS £1,N,750.0,1.0,5.0,5478670.0,18575129.0,15/08/2017
SET1,FS10,RS GROUP PLC,GB0003096442,0309644,DE,SHRS,GBX,TP_2,TM_46,GB,RS1,RS GROUP,ORD 10P,N,2000.0,1.0,5.0,554307976.0,21992254.0,04/05/2022
SET1,FS10,HALMA PLC,GB0004052071,0405207,DE,SHRS,GBX,TP_2,TM_47,GB,HLMA,HALMA,ORD 10P,N,750.0,1.0,5.0,6131627.0,37790310.0,18/12/2017
SET1,FS10,IMPERIAL BRANDS PLC,GB0004544929,0454492,DE,SHRS,GBX,TP_2,TM_47,GB,IMB,IMP.BRANDS,ORD 10P,N,1000.0,1.0,5.0,17172412.0,72527071.0,15/03/2021
