,Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
71,SVG,SVI,20,206.0,250,195,29/12/2011,289.0,12/04/2012,1660.0
72,Kentz,KENZ,20,422.0,490,410,29/12/2011,428.0,04/04/2013,120.0
73,Yule Catto,YULC,30,153.0,175,144,15/12/2011,212.0,02/03/2012,1770.0
74,Gulf Keystone,GKP,20,162.0,195,151,28/11/2011,281.0,17/01/2012,2380.0
75,Yule Catto,YULC,30,154.0,180,145,28/11/2011,175.0,06/12/2011,630.0
76,Dominos,DOM,10,384.0,450,375,25/11/2011,420.0,06/12/2011,300.0
77,Supergroup,SGP,10,434.0,550,410,25/11/2011,638.0,22/03/2012,630.0
78,Dominos,DOM,10,384.0,450,375,25/11/2011,449.0,02/12/2011,650.0
79,Supergroup,SGP,10,434.0,550,410,25/11/2011,544.0,06/12/2011,1100.0
80,Supergroup,SGP,10,600.0,700,550,04/11/2011,690.0,10/11/2011,900.0
81,Bayfield,BEH,100,54.0,90,40,27/10/2011,37.0,14/05/2012,1700.0
82,IMI,IMI,5,768.0,840,740,07/10/2011,830.0,07/11/2011,310.0
83,Exillon,EXI,10,248.0,320,225,07/10/2011,309.0,17/11/2011,610.0
84,Gulf Keystone,GKP,30,128.0,170,114,05/10/2011,172.0,17/11/2011,1320.0
85,Cape,CIU,10,427.0,500,415,05/10/2011,409.25,09/11/2011,180.0
86,Gulf Keystone,GKP,30,142.0,250,120,12/09/2011,148.0,23/09/2011,180.0
87,TT Elec,TTG,20,141.0,180,115,05/09/2011,136.0,17/11/2011,100.0
88,Cape,CIU,10,477.0,550,440,02/09/2011,484.0,22/09/2011,70.0
89,IG,IGG,10,409.0,475,390,19/07/2011,447.0,02/08/2011,360.0
90,Supergroup,SGP,10,940.0,1200,870,13/07/2011,1015.0,03/08/2011,750.0
91,Smith DS,SMDS,20,247.0,290,230,12/07/2011,243.0,18/07/2011,80.0
92,Kentz,KENZ,30,440.0,700,390,21/06/2011,435.0,04/04/2013,150.0
93,Charter,CHTR,10,515.0,650,500,20/06/2011,828.0,08/07/2011,3130.0
94,Croda,CRDA,10,1847.0,2100,1790,20/06/2011,1960.0,18/07/2011,1130.0
95,Supergroup,SGP,10,831.0,950,780,19/06/2011,1015.0,03/08/2011,1840.0
96,Laird,LRD,30,150.0,220,120,16/06/2011,190.0,11/07/2011,1200.0
97,Laird,LRD,30,143.0,220,120,16/06/2011,190.0,11/07/2011,1410.0
98,Oxford Instruments,OXIG,5,769.0,1000,690,09/06/2011,944.0,03/08/2011,875.0
99,Hiscox,HSX,10,414.0,495,390,21/05/2011,420.0,07/07/2011,60.0
100,Electrocomponents,ECM,15,286.0,350,240,21/05/2011,260.0,07/07/2011,390.0
101,Genus,GNS,10,984.0,1200,940,19/05/2011,971.0,27/07/2011,130.0
102,Pace,PIC,50,92.9,115,85,10/05/2011,116.0,09/06/2011,1150.0
103,Homeserve,HSV,10,494.0,550,470,06/05/2011,505.0,07/07/2011,110.0
104,Croda,CRDA,5,1693.0,2000,1550,15/04/2011,1914.0,14/06/2011,1105.0
105,Micro Focus,MCRO,20,261.0,420,240,15/04/2011,368.0,17/05/2011,2140.0
106,CPP,CPP,50,129.5,200,115,29/03/2011,140.0,11/04/2011,525.0
107,Mondi,MNDI,10,582.0,650,530,28/03/2011,608.0,14/06/2011,260.0
108,Encore,EO.,30,102.0,130,90,15/03/2011,111.0,04/05/2011,270.0
109,London Capital,LCG,55,61.5,90,55,15/03/2011,71.0,23/01/2012,522.0
