Ticker
AAF.L
AAL.L
ABDN.L
ABF.L
ADM.L
AHT.L
ANTO.L
AUTO.L
AV.L
AVST.L
AVV.L
AZN.L
BA.L
BARC.L
BATS.L
BDEV.L
BKG.L
BLND.L
BME.L
BNZL.L
BP.L
BRBY.L
BT-A.L
CCH.L
CPG.L
CRDA.L
CRH.L
DCC.L
DGE.L
DPH.L
EDV.L
ENT.L
EXPN.L
FERG.L
FLTR.L
FRES.L
GLEN.L
GSK.L
HIK.L
HL.L
HLMA.L
HSBA.L
HWDN.L
IAG.L
ICP.L
IHG.L
III.L
IMB.L
INF.L
ITRK.L
ITV.L
JD.L
KGF.L
LAND.L
LGEN.L
LLOY.L
LSEG.L
MGGT.L
MNDI.L
MNG.L
MRO.L
NG.L
NWG.L
NXT.L
OCDO.L
PHNX.L
PRU.L
PSH.L
PSN.L
PSON.L
REL.L
RIO.L
RKT.L
RMG.L
RMV.L
RR.L
RS.L
RTO.L
SBRY.L
SDR.L
SGE.L
SGRO.L
SHEL.L
SKG.L
SMDS.L
SMIN.L
SMT.L
SN.L
SPX.L
SSE.L
STAN.L
STJ.L
SVT.L
TSCO.L
TW.L
ULVR.L
UU.L
VOD.L
WPP.L
WTB.L
